id,name,lat,lon,address,phone,email,features,photoUrl,description,area
11,Swan,51.498,-0.265267,"1 Evershed Walk, 119 Acton Lane

Acton Green

W4 5HH",(020) 8994 8262,reservations@theswanchiswick.co.uk,[],https://placekitten.com/401/301,"Street corner pub dating from 1871, which retains a local drinking character despite the addition of a well-regarded gastropub area into part of the original garden – still one of the best pub gardens in West London. The ever-present Timothy Taylors Landlord is joined by St Austell Tribute. The pub exterior regularly appeared in a 1980s sitcom, and familiar faces from current TV can often now be seen.

From 'Acton's Pubs and Inns (1989) :

""At the Acton Green end of Acton Lane, the lane takes a sharp right turn and then a left turn round an old field boundary. On the corner of this last turn stands the Swan. Acton Lane is an ancient way and there was a cluster of cottages here in early days. The pub is however first recorded in 1871 when the publican was James Brown who owned the house when it passed to the Phoenix Brewery, Latimer Road. The area around that part of Acton Lane was built up rapidly during that period. The pub passed to the Law Guarantee Trust and in 1909 to Charringtons.

It survived the rebuilding in the area, was renovated and added to ; although the original house can still be seen. It still retains its original garden and some of the trees.""

It is rumoured that the pub survived demolition in the 1970s as part of the building of the Beaconsfield Road Council Estate next door because the then Leader of the Council was a regular there.",Acton Green
12,Claret & Ale,51.38,-0.073535,"5 Bingham Corner, Lower Addiscombe Road

Addiscombe

CR0 7AA",(020) 8656 7452,,[],https://placekitten.com/402/302,"Close to Addiscombe Tram Stop, the Claret & Ale is a small, privately owned friendly free house with a constantly changing selection of cask ales in addition to the popular Palmers IPA. Current and coming beers - often including a second Palmers beer - are indicated on a board on the wall opposite the bar. The TV screens show a variety of sporting events, usually with the sound muted. Occasional events are held to raise money for charity. The pub has often been the local CAMRA Croydon Pub of the Year, and is again for 2024.",Addiscombe
13,Cricketers,51.3813,-0.062828,"47 Shirley Road

Addiscombe

CR0 7ER",(020) 3654 9848,,[],https://placekitten.com/403/303,"Refurbished in 2017, The Cricketers has maintained a clean aspect with new flooring and furniture.  Of the six new handpumps, only two of three are in regular use. This has always been a traditional community pub where all are welcome. Real fires will contribute towards the comfortable, lived-in atmosphere in the winter. Live music will be reinstated when custom demands. There are four TVs in the main bar showing different sports; televised sport has always been a great attraction particularly when Crystal Palace matches are televised. Darts is also played competitively in the pub.",Addiscombe
14,Craft Beer Co.,51.5137,-0.0784942,"29-31 Mitre Street

Aldgate

EC3A 5BZ",(020) 7929 5112,stmaryaxe@thecraftbeerco.com,[],https://placekitten.com/404/304,"Opened in 2015 this has a traditional craft feel. Bare brick walls, mirrors from Bass and Burton breweries, wooden floorboards and traditional high tables with stools. The bar has six cask ales with five guest ales and Kent Pale as a house beer. There are eighteen keg lines and a boxed cider. Pies, scotch eggs and sandwiches are the food offering. The smoking area is on the pavement outside. The toilets and a separate area are downstairs. Music is played. Available for private hire on Saturdays.",Aldgate
15,Hoop & Grapes,51.5143,-0.0741806,"47 Aldgate High Street

Aldgate

EC3N 1AL",(020) 7481 4583,hoopandgrapes@nicholsonspubs.com,[],https://placekitten.com/400/300,**Being refurbishmed - expected reopening September 10th** Listed Building dating from the 11th century there has been an Inn on the site since the thirteenth century.The current pub was converted from a wine merchant in 1920. It missed the Great Fire of London by a few yards and is one of only a handful of timbered buildings still left in London. Traditional pub food. The low ceilings and soft lights added to the atmosphere in this Grade II listed pub. Sparklers on all beers.,Aldgate
16,Douglas Fir,51.4147,-0.0709134,"144 Anerley Rd

Anerley

SE20 8DL",,,[],https://placekitten.com/401/301,"This craft beer bar re-opened on 26th April 2025 but currently operates as a pop-up bar until further notice. This previously closed without any prior warning at the end of 2024. The Douglas Fir was originally opened in November 2016 and operated by the Gipsy Hill Brewing Company. In premises formerly occupied by a hairdresser, the appearance is similar to many micropubs but the enterprise is more considered as a bar serving craft  beer. The bar has a popular local following as a community hub and is situated roughly half-way between Crystal Palace and Anerley rail/London Overground stations. The name pays homage to the wood used to build the bar top and drinking shelf, sourced through a creative exchange in return for beer. Inside, a single small compact room has a wooden top bar and assorted seating with tables, benches and a couple of armchairs. The interior décor is in shades of blue grey, complemented by the wooden flooring and dim lighting from modern hanging lights and chandelier. Keg beers are served from taps that are fixed on a former steam pipe from the brewery. Popular with the younger generation, this is very family and dog friendly. The atmosphere is easy going and relaxed. Be prepared to share a table. The bar has up to two handpumps with at least one cask ale available. The main draw for beer drinkers is the array of craft keg lines (up to eight) which contain a changing variety of local beers from Gipsy Hill and Southey breweries. Wine and local spirits are also available along with low/no alcohol beers and cans from the fridge. Outside, there are a couple of table sets on the pavement, which are put out during opening hours. Known to the locals as the ""Doug"". The pub name is unique within Great Britain. Instagram page is @douglasfir_crystalpalace Card payment ONLY, no cash accepted.",Anerley
17,Ashtead Village Club,51.3098,-0.298355,"104 The Street

Ashtead

KT21 1AW",(01372) 275764,,[],https://placekitten.com/402/302,"CIU affiliated members only club in the centre of the village. Membership by application, with preference given to local residents.",Ashtead
18,Brewery Inn,51.3094,-0.300036,"15 The Street

Ashtead

KT21 2AD",(01372) 282110,breweryinnenquiries@dorkingbrewery.com,[],https://placekitten.com/403/303,"Large pub, which was the former site of George Sayer's Ashtead Brewery in the 19th century. The cellar still includes the brewing well which extends 100 metres under the road, although the brewery closed in 1910. The large bar area has a raised, music free dining area at the rear. A varied range of food is offered, catering for all dietary requirements and includes daily specials. The outdoor space at the rear, where dogs are welcome, has covered areas and is partially grassed. Taken over by Dorking Brewery in summer 2024.",Ashtead
19,Leg of Mutton & Cauliflower,51.3092,-0.29964,"48 The Street

Ashtead

KT21 1AZ",(01372) 273858,legofmuttonandcauliflower@gmail.com,[],https://placekitten.com/404/304,"Former 18th century coaching inn. The pub has recently been redecorated throughout with an eclectic mix of furniture, giving a good ambience. The rooms at the back form a comfortable lounge area. Outside is a patio at the front and a garden to the rear, with a large covered smoking area. Families are welcome until 9:00 in the top bar area. Acoustic bands every fortnight on Saturday evenings. The kitchen closed, but will cater for private functions on request.",Ashtead
20,Woodman,51.3143,-0.307998,"238 Barnett Wood Lane

Ashtead

KT21 2DA",(01372) 274524,woodmanashtead@emberinns.co.uk,[],https://placekitten.com/400/300,"A large pub, overlooking Ashtead Common, which is decorated in typical Ember style with painted walls and dividing partitions to give a homely feel. Several of the partitions include open gas fires as a feature, which make it cosy in winter. For summer, there is a patio at the front and a large fenced garden to the rear. Quizzes are held on Wednesday evenings. A good range of food is served all day. Children allowed until 9pm. Guest beers are from the Ember list.",Ashtead
21,Avalon,51.4506,-0.148038,"16 Balham Hill

Balham

SW12 9EB",(020) 8675 8613,info@theavalonlondon.com,[],https://placekitten.com/401/301,"Two hundred yards down the hill from Clapham South tube, once a coaching inn and probably the oldest pub in the area though little of historical/architectural interest remains. Renamed by new leaseholder Renaissance Pubs (now Three Cheers Pub Co), after comprehensive refurbishment in November 2008, into an attractive gastropub, retaining a traditional bar with front lounge but transforming the rear sports bar into a sumptuous restaurant area. Back garden and enclosed pavement seating. Formerly the George.",Balham
22,Bedford,51.4427,-0.149416,"77 Bedford Hill

Balham

SW12 9HD",(020) 3976 8007,info@thebedford.com,[],https://placekitten.com/402/302,"Built for Watney in 1931 and now Grade II-listed, this remarkable community pub and performance venue no longer has a separate public bar but includes a round theatre with a gallery as well as spacious function rooms on two upper floors.

For six years it has hosted the London Folkfest in June, followed in 2016 by the Balham Literary Festival. The Balham Comedy Festival in July is now in its fifth year.

The pub was acquired in May 2017 by Three Cheers Pub Co (formerly Renaissance Pubs) as their eighth South London venue, and part of a new Six Cheers 'managed expert' partnership with Enterprise, retaining its emphasis on live music and comedy.  It reopened after major refurbishment late in 2018.",Balham
23,Devonshire,51.4469,-0.148988,"39 Balham High Road

Balham

SW12 9AN",(020) 8673 1363,devonshire@youngs.co.uk,[],https://placekitten.com/403/303,"Large, cavernous Victorian corner house retaining high ceilings and some original mirrors. Refurbished as more of a gastropub and renamed from Duke of Devonshire early in 2008. Split level seating areas behind the central bar with a large garden open in the summer.",Balham
24,Firefly,51.4425,-0.153266,"3 Station Parade, Balham High Rd

Balham

SW12 9AZ",(020) 8673 9796,balham@fireflybar.co.uk,[],https://placekitten.com/404/304,"This bar cum Thai restaurant offers real ale on two handpumps. Usually Dark Star Hophead and a London guest, (often Redemption Pale Ale.).

They also serve a wide range of keg and bottled beers, including London specialities. The pub is popular with commuters from the adjacent Balham Station whose trains have  been delayed or cancelled.",Balham
25,Grove,51.4483,-0.150969,"39 Oldridge Road

Balham

SW12 8PN",(020) 8673 6531,grovebalham@youngs.co.uk,[],https://placekitten.com/400/300,"Large Victorian corner pub retaining separate drinking areas despite the complete refurbishment that sadly saw a popular public bar knocked through. Clean, tasteful, relaxed and quiet, a stylish but not trendy pub for everyone including families and especially diners. Restaurant meals all day until 10.30. Board games but no darts, fortnightly Sunday quiz. Pavement seating.",Balham
26,Hagen & Hyde,51.4439,-0.152205,"157 Balham High Road

Balham

SW12 9AU",(020) 8772 0016,,[],https://placekitten.com/401/301,"Acquired by Antic in mid 2013, renamed and reopened with up to ten real ales, twelve keg beers and two real ciders on the bar. The kitchen specialised in fresh fish. Entertainment ranged from DJs to bands but all with a definite vintage flavour. Originally a 1997 shop conversion opened as the Eclipse by Regent Inns, acquired by Wizard Inns who changed its name to Blithe Spirit in 2003.

Part of Urban Pubs & Bars portfolio from autumn 2024.  Beer range had reduced since Covid  and now only two handpumps remain on the main bar.",Balham
27,Nightingale,51.4501,-0.157954,"97 Nightingale Lane

Balham

SW12 8NX",(020) 8673 1637,nightingale@youngs.co.uk,[],https://placekitten.com/402/302,"Worth going out of your way to find, this country pub in town was built in 1853 by Thomas Wallis and has been a focus for the local community ever since.

A recent renovation has not altered the basic layout of the pub. There is a traditional public bar area at the front, while the larger but cosy saloon bar leads through to a rear extension and sheltered garden.

The pub is renowned for its annual walk in June for local charity, which has been held for over 40 years.",Balham
28,Regent,51.4441,-0.153765,"21 Chestnut Grove

Balham

SW12 8JB",(020) 8776 0546,gm@theregentbalham.co.uk,[],https://placekitten.com/403/303,"Formerly the Balham Tup, Clouseaus (1996-1999) and originally the Balham Hotel. A vast sports bar with several big screen TVs. Small fenced patio off the road. Beers may vary from within the Punch list.",Balham
