latlon_postcode,latlon_postcode_district,latlon_postcode_area,osm_type,osm_id,id,lat,lon,name,operator,brand,addr_housenumber,addr_street,addr_city,addr_postcode,addr_full,phone,website,wikidata,opening_hours,postcode_district,postcode_area,opening_hours_a,opening_hours_b,opening_hours_c,opening_hours_d,postcode_district_x,postcode_area_y
,,,node,25523569,node/25523569,51.4053384,0.0034181,Shortlands Tavern,,,,Station Road,Bromley,,,+44 20 8466 0202,https://www.shortlandstavern.co.uk/,,12:00-23:00,,,,,,,,
,,,node,25524219,node/25524219,51.3803526,-0.0133037,The Railway,,Ember Inns,,,,,,,https://www.emberinns.co.uk/nationalsearch/southeast/the-railway-hotel-west-wickham,,,,,,,,,,
,W7,W,node,25592547,node/25592547,51.5089598,-0.3385051,The Duke of York,,,161,Uxbridge Road,London,,,,,,,,,,,,,W7,W
,N1,N,node,25597628,node/25597628,51.5347892,-0.1072883,The Angelic,,,57,Liverpool Road,London,,,,,,,,,,,,,N1,N
,N4,N,node,25717653,node/25717653,51.5780132,-0.0990941,The Old Ale Emporium,,,405,Green Lanes,London,,,+44 20 8348 6200,https://the-old-ale-emporium.edan.io/,,Mo-Th 11:00-00:00; Fr-Sa 11:00-01:00; Su 12:00-23:00,,,,,,,N4,N
,N4,N,node,25717655,node/25717655,51.5763654,-0.0987786,The Beaconsfield,,,359,Green Lanes,London,,,,,,,,,,,,,N4,N
,SE4,SE,node,25729218,node/25729218,51.4534062,-0.038511,The Brockley Jack,,Greene King,408-410,Brockley Road,London,,,,https://www.greeneking.co.uk/pubs/greater-london/brockley-jack,,,,,,,,,SE4,SE
,N19,N,node,25744507,node/25744507,51.5566538,-0.1383959,Aces and Eights Saloon Bar,,,156-158,Fortess Road,London,,,,https://www.acesandeightssaloonbar.com/,,,,,,,,,N19,N
,WC2R,WC,node,25746185,node/25746185,51.5123895,-0.1131849,The Cheshire Cheese,,,,,London,,,+44 20 7836 2347,,Q27087707,,,,,,,,WC2R,WC
,N19,N,node,25894993,node/25894993,51.5672223,-0.1219758,The Corner Flag,,,472,Hornsey Road,London,,,,,,,,,,,,,N19,N
,,,node,26040005,node/26040005,51.3860498,-0.3238196,The Limping Fox,,,15,Rushett Road,Thames Ditton,,,+44 20 8224 2047,https://www.thelimpingfox.co.uk/,,,,,,,,,,
,N4,N,node,26065903,node/26065903,51.5645126,-0.104466,The BlackStock,,,284,Seven Sisters Road,London,,,+44 20 7561 1337,,,"Mo-Th 14:00-24:00; Fr 14:00-24:00; Sa 00:00-02:00,11:00-24:00; Su 00:00-02:00,11:00-24:00",,,,,,,N4,N
,,,node,26108616,node/26108616,51.2949328,-0.2125085,Kingswood Arms,,Fuller's,,Waterhouse Lane,Tadworth,,,,https://www.kingswoodarms.co.uk/,,,,,,,,,,
,N4,N,node,26197017,node/26197017,51.5693773,-0.1126397,The White Lion of Mortimer,,,125-127,Stroud Green Road,London,,,,,,,,,,,,,N4,N
,,,node,26363049,node/26363049,51.6419852,-0.2424157,The Gate,,,,,,,,,,,,,,,,,,,
,,,node,26422089,node/26422089,51.3176651,-0.1901579,The Mint,,Vintage Inns,,Park Road,Banstead,,,,https://www.vintageinn.co.uk/restaurants/south-east/themintbanstead,,Mo-Fr 12:00-23:00; Sa 09:00-23:00; Su 09:00-22:00,,,,,,,,
,,,node,26603473,node/26603473,51.5362244,-0.4769664,The Loft,,,33,Villier Street,Uxbridge,,,+44 1895 753179,https://www.theloftuxbridge.com/,,Mo-Fr 15:00-23:00; Sa-Su 12:00-23:00,,,,,,,,
,,,node,26603929,node/26603929,51.5310186,-0.4820512,The Crown,,,,High Street,Uxbridge,,,+44 1895 473713,,Q16988250,Mo-Su 12:00-22:00,,,,,,,,
,NW1,NW,node,26610587,node/26610587,51.5394566,-0.1446078,The Good Mixer,,,30,Inverness Street,London,,,,,,,,,,,,,NW1,NW
,NW1,NW,node,26610590,node/26610590,51.5405479,-0.1443341,The Oxford Arms,,,265,Camden High Street,London,,,+44 20 7267 4945,https://oxfordarmscamden.co.uk,,Fr-Sa 12:00-02:00; Su-Th 12:00-01:00,,,,,,,NW1,NW
,W1D,W,node,26699558,node/26699558,51.5165109,-0.1307587,The Flying Horse,,Nicholson's,,,,,,,https://www.nicholsonspubs.co.uk/restaurants/london/theflyinghorseoxfordstreetlondon,Q16707773,Mo-Sa 11:00-23:00; Su 12:00-22:30,,,,,,,W1D,W
,,,node,26979398,node/26979398,51.5459392,-0.4799811,Queen's Head,,Greene King,54,Windsor Street,Uxbridge,,,+44 1895 258750,https://www.greeneking-pubs.co.uk/pubs/middlesex/queens-head/,Q17018369,,,,,,,,,
,,,node,26979399,node/26979399,51.5454653,-0.480097,The Metropolitan,Stonegate,,"8,9",Windsor Street,Uxbridge,,,+44 1895 230031,https://www.greatukpubs.co.uk/metropolitan-tavern-uxbridge,,Mo-Fr 10:00-22:00; Sa-Su 12:00-22:00,,,,,,,,
,,,node,26979400,node/26979400,51.5455668,-0.4802997,The Fig Tree,,Greene King,49,Windsor Street,Uxbridge,,,+44 1895 257932,https://www.greeneking-pubs.co.uk/pubs/middlesex/fig-tree/,,Mo-Th 11:00-23:00; Fr-Sa 11:00-01:00; Su 12:00-23:00,,,,,,,,
,,,node,26979401,node/26979401,51.5476493,-0.4806061,Whelans,,,,,,,,,,Q26354638,,,,,,,,,
,,,node,26979403,node/26979403,51.5456282,-0.4788813,The Three Tuns,,Greene King,,,,,,,https://www.greeneking.co.uk/pubs/middlesex/three-tuns,Q17022824,,,,,,,,,
,,,node,26980235,node/26980235,51.6630788,-0.0854123,The Wonder,,,,,,,,,,Q60135745,"Mo-Th 11:00-23:00; Su 12:00-23:00; Fr,Sa 11:00-24:00",,,,,,,,
,SE23,SE,node,26992533,node/26992533,51.4455382,-0.044651,General Napier,,,73,Bovill Road,London,,,,,,,,,,,,,SE23,SE
,SE23,SE,node,26992933,node/26992933,51.4432329,-0.0422998,The Honor Oak,,,1,St Germans Road,London,,,,https://www.honoroak.pub/,,Su-Th 12:00-23:00; Fr-Sa 12:00-25:00,,,,,,,SE23,SE
,NW1,NW,node,27017235,node/27017235,51.5234117,-0.1618602,Sir John Balcombe,,,21,Balcombe Street,London,,,,,,,,,,,,,NW1,NW
,,,node,27245287,node/27245287,51.465564,-0.299238,The Shaftesbury Arms,,,121-123,Kew Road,Richmond,,,,,,,,,,,,,,
,,,node,27348824,node/27348824,51.671207,-0.083777,Rose and Crown,British Waterways/Scottish,,,,,,,,,Q26352471,Mo-Sa 12:00-23:00; Su 12:00-22:30,,,,,,,,
,,,node,27349206,node/27349206,51.656505,-0.0874147,Cricketers Arms,,,,,,,,,,,,,,,,,,,
,N15,N,node,27364392,node/27364392,51.5783635,-0.0819029,No.8 Seven Sisters,,,,,,,,,,,,,,,,,,N15,N
,W5,W,node,27408323,node/27408323,51.5116826,-0.3051555,The Drapers Arms,,,24-25,High Street,London,,,,,,,,,,,,,W5,W
,N19,N,node,27411557,node/27411557,51.5646374,-0.1217505,North Nineteen,,,,,,,,,,,"Mo-Th 16:00-12:00, Fr 16:00-01:00",,,,,,,N19,N
,,,node,27418915,node/27418915,51.4986033,0.2564934,The Ship,,,,,,,,,,,,,,,,,,,
,W5,W,node,27475739,node/27475739,51.5102956,-0.3052313,The Grove,,,,,,,,,,,,,,,,,,W5,W
,W5,W,node,27475983,node/27475983,51.5080196,-0.3050181,The Red Lion,,Fuller's,,,,,,,https://www.theredlionw5.com/,,,,,,,,,W5,W
,W5,W,node,27476034,node/27476034,51.5061889,-0.3053344,The Castle Inn,,Fuller's,36,St Marys Road,London,,,,https://www.castleealing.co.uk/,,,,,,,,,W5,W
,W5,W,node,27476983,node/27476983,51.5148399,-0.302661,The Shanakee,,,,,,,,,,,,,,,,,,W5,W
,W5,W,node,27476990,node/27476990,51.5138717,-0.3018562,The North Star,,,,,,,,,,,,,,,,,,W5,W
,W5,W,node,27477157,node/27477157,51.5169211,-0.299932,The Wheatsheaf,Fuller's,Fuller's,41,Haven Lane,London,,,+44 20 8997 5240,https://wheatsheaf-ealing.co.uk/,,,,,,,,,W5,W
,W5,W,node,27477159,node/27477159,51.5168303,-0.3000951,The Haven Arms,,,33,Haven Lane,London,,,+44 20 8997 0378,http://www.thehavenarms.co.uk/,,,,,,,,,W5,W
,SW10,SW,node,27512718,node/27512718,51.4776729,-0.1833426,Lots Road,,,114,Lots Road,London,,,+44 20 7352 6645,https://lotsroadchelsea.co.uk/,,Mo-Sa 12:00-23:00; Su 12:00-22:00,,,,,,,SW10,SW
,SW1X,SW,node,27718642,node/27718642,51.4984423,-0.155855,The Star Tavern,Fuller's,Fuller's,6,Belgrave Mews West,London,,,,https://www.star-tavern-belgravia.co.uk/,Q17021189,Mo-Fr 11:00-23:00; Sa 12:00-23:00; Su 12:00-22:30,,,,,,,SW1X,SW
,WC1N,WC,node,29039088,node/29039088,51.5212273,-0.1225308,The Queen's Larder,,,,,London,,,,,Q26432040,,,,,,,,WC1N,WC
,,,node,30483366,node/30483366,51.4195033,-0.2875532,The Park Tavern,,,19,New Road,Kingston upon Thames,,,,,,,,,,,,,,
,,,node,30512931,node/30512931,51.4265543,-0.2982274,The Cardinal,,,174,Tudor Drive,Kingston upon Thames,,,,,,"Tu-Th 17:30-10:30, Fr 12:30-23:30, Sa 12:30-11:30, Su 12:30-21:00",,,,,,,,
,W2,W,node,30585304,node/30585304,51.5126423,-0.187786,The Bayswater Arms,Taylor Walker,,,,,,,,,,,,,,,,,W2,W
,W11,W,node,30592674,node/30592674,51.5095361,-0.1975022,Prince Albert,,,11,Pembridge Road,London,,,,https://www.the-prince-albert.co.uk/,,,,,,,,,W11,W
,,,node,30669338,node/30669338,51.4505854,-0.3002861,The Rose of York,,,,Petersham Road,Richmond,,,,,,,,,,,,,,
,N7,N,node,30793153,node/30793153,51.5589274,-0.1206516,Tommy Flynns,,,504,Holloway Road,London,,,+442072722066,,,,,,,,,,N7,N
,,,node,31247045,node/31247045,51.5628777,-0.3560203,The Shawl,,,320,Northolt Road,Harrow,,,,,,,,,,,,,,
,,,node,31247069,node/31247069,51.5694406,-0.3464574,Salt Bar,,,1,Roxeth Hill,Harrow,,,,,,,,,,,,,,
,,,node,31275782,node/31275782,51.3689042,-0.1619811,The Lord Palmerston,,,,,,,,,,,,,,,,,,,
,,,node,31322806,node/31322806,51.4099036,-0.4888313,The Turks Head,,,,The Broadway,Staines-upon-Thames,,,,,,,,,,,,,,
,,,node,31472797,node/31472797,51.5556251,-0.316774,The Swan,,,789,Harrow Road,Wembley,,,,,,,,,,,,,,
,,,node,32654858,node/32654858,51.3929194,-0.3317479,Ye Olde Swan,,Greene King,,Summer Road,Thames Ditton,,,,https://www.greeneking.co.uk/pubs/surrey/ye-olde-swan,Q26281363,,,,,,,,,
,,,node,33077538,node/33077538,51.4714994,-0.3552674,Duke of Cambridge,,,,,,,,,,,,,,,,,,,
,,,node,33077565,node/33077565,51.4675133,-0.3866606,Duke of York,,,,,,,,,,,,,,,,,,,
,N16,N,node,33101954,node/33101954,51.5749285,-0.0719505,Turnpike House,,,,,,,,,,,,,,,,,,N16,N
,,,node,33116988,node/33116988,51.4778706,-0.3628656,The Black Horse,,,,,,,,,,,,,,,,,,,
,,,node,33497682,node/33497682,51.3654748,-0.184308,Lord Nelson,,,32,Lower Road,Sutton,,,,,,,,,,,,,,
,,,node,33583650,node/33583650,51.367124,-0.1641978,The Sun,,,4,North Street,,,,+44 20 8773 4549,http://www.thesuncarshalton.com/,,Mo-Th 12:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-22:30,,,,,,,,
,,,node,33665778,node/33665778,51.3685885,-0.1551403,Rose & Crown,,,,,Wallington,,,,,,,,,,,,,,
,,,node,34190586,node/34190586,51.4729787,-0.3376386,The Woodlands Tavern,,,,,,,,,,,,,,,,,,,
,,,node,34190682,node/34190682,51.4689419,-0.3241118,The Swan Inn,,Fuller's,,,,,,,https://www.swaninnisleworth.co.uk/,,,,,,,,,,
,,,node,34190721,node/34190721,51.4735028,-0.3338701,The Red Lion,,,,,,,,,,,,,,,,,,,
,,,node,36217541,node/36217541,51.561967,-0.3727312,The Horseshoe Bar,,,326,Eastcote Lane,,,,,,,,,,,,,,,
,,,node,36314175,node/36314175,51.3650377,-0.1623319,Coach & Horses,,,,,,,,,,,,,,,,,,,
,,,node,36487478,node/36487478,51.4916527,-0.3393015,Hare and Hounds,,Fuller's,,,,,,,https://www.hareandhoundsosterley.co.uk/,,,,,,,,,,
,,,node,36585191,node/36585191,51.3650042,-0.1625787,The Woodman,,,,,,,,,,Q26318736,,,,,,,,,
,,,node,36685542,node/36685542,51.4669866,-0.3408452,The Royal Oak,,Fuller's,,,,,,,https://www.royaloakisleworth.co.uk/,,,,,,,,,,
,,,node,36868088,node/36868088,51.3562255,-0.2162302,The Railway,,,,,,,,,,,,,,,,,,,
,,,node,36869280,node/36869280,51.3556652,-0.2222369,The Grumpy Mole,,,,,,,,,,,,,,,,,,,
,,,node,36989169,node/36989169,51.3576314,-0.2157505,The Harrow,Stonegate,,,,,,,,https://www.crafted-social.co.uk/harrow-cheam,,,,,,,,,,
,,,node,37124435,node/37124435,51.3693298,-0.1658625,The Railway Tavern,,Fuller's,47,North Street,Carshalton,,,,https://www.railwaytaverncarshalton.co.uk/,,,,,,,,,,
,,,node,37155037,node/37155037,51.369505,-0.1802281,The Butterchurn,,Greene King,,Erskine Road,Sutton,,,,https://www.greeneking.co.uk/pubs/surrey/butterchurn,,,,,,,,,,
,,,node,39601041,node/39601041,51.3723143,-0.1316804,Harvest Home,,,27,Beddington Lane,Croydon,,,,,,,,,,,,,,
,SW19,SW,node,39663028,node/39663028,51.4155329,-0.1917749,Horse & Groom,Stonegate,,131,Merton High Street,London,,,,https://www.craftunionpubs.com/horse-and-groom-wimbledon,,,,,,,,,SW19,SW
,SW19,SW,node,39741897,node/39741897,51.4185272,-0.1853025,The Sultan,,,78,Norman Road,London,,,,,,,,,,,,,SW19,SW
,,,node,40175772,node/40175772,51.3627599,-0.1852127,The Nightingale,,,53,Carshalton Road,Sutton,,,,,,,,,,,,,,
,,,node,41027353,node/41027353,51.5940913,0.2351305,The King Harold,,,,,,,,,,,,,,,,,,,
,N1,N,node,46714849,node/46714849,51.537057,-0.0884773,The Baring Arms,,,55,Baring Street,London,,,,,,,,,,,,,N1,N
,E1,E,node,48928595,node/48928595,51.5190934,-0.0589373,London Hospital Tavern,,,176,Whitechapel Road,London,,,,,,,,,,,,,E1,E
,SW6,SW,node,49300405,node/49300405,51.4693971,-0.2104963,The Temperance,Stonegate,,90,Fulham High Street,London,,,,https://www.crafted-social.co.uk/temperance-fulham,Q15979548,,,,,,,,SW6,SW
,NW1,NW,node,49311908,node/49311908,51.5239797,-0.1585799,The Volunteer,,,245-247,Baker Street,London,,,,https://www.thevolunteernw1.co.uk/,Q26639765,,,,,,,,NW1,NW
,NW1,NW,node,49314952,node/49314952,51.54181,-0.1359896,The Colonel Fawcett,,,1,Randolph Street,London,,,,https://thecolonelfawcett.co.uk/,,,,,,,,,NW1,NW
,WC1E,WC,node,49319602,node/49319602,51.5218219,-0.1337724,The Marlborough Arms,,Greene King,36,Torrington Place,London,,,,https://www.greeneking.co.uk/pubs/greater-london/marlborough-arms,,,,,,,,,WC1E,WC
,,,node,50453784,node/50453784,51.4557401,-0.3542958,The White Hart Inn,,,121,Kneller Road,,,,,,,,,,,,,,,
,,,node,50453906,node/50453906,51.4547683,-0.3514212,The Duke of Cambridge,,,,Kneller Road,,,,,,,,,,,,,,,
,E8,E,node,52755412,node/52755412,51.5401086,-0.0744743,The Duke of Wellington,,,260,Haggerston Road,London,,,,,,,,,,,,,E8,E
,,,node,56446211,node/56446211,51.3736894,-0.05418,The Crown,,Ember Inns,28,Wickham Road,Croydon,,,,https://www.emberinns.co.uk/nationalsearch/southeast/the-crown-shirley,,,,,,,,,,
,,,node,57730534,node/57730534,51.4666594,-0.3587255,The Lord Clyde,,,,,,,,,,,,,,,,,,,
,SW5,SW,node,59169435,node/59169435,51.4895785,-0.1904313,The Bolton,O'Neills,O'Neill's,326,Old Brompton Road,London,,,,https://www.theboltonearlscourt.co.uk/,,Mo-Th 12:00-23:00; Fr 12:00-00:00; Sa 10:00-00:00; Su 10:00-23:00,,,,,,,SW5,SW
,,,node,59651717,node/59651717,51.4707517,-0.3669356,The Bulstrode Pub,,,55,Lampton Road,Hounslow,,,,,,,,,,,,,,
,,,node,59788102,node/59788102,51.4743431,0.3145286,The Wharf,,,,Wharf Road South,Grays,,,+44 1375 372418,http://www.johnbarras.com/pub/wharf-hotel-grays/m3969/,Q26440890,,,,,,,,,
,,,node,59933337,node/59933337,51.3743818,-0.0502512,Shirley Inn,,,158,Wickham Road,Croydon,,,,,,,,,,,,,,
,,,node,60307094,node/60307094,51.3751766,-0.0836591,The Cricketers,,,107,Addiscombe Road,Croydon,,,,,,,,,,,,,,
,,,node,61937679,node/61937679,51.6519527,-0.0814868,The Goose at the George,,,5,The Town,Enfield,,,,,,,,,,,,,,
,,,node,61947415,node/61947415,51.6631766,-0.0773879,The Hop Poles,,,,,,,,,,,,,,,,,,,
,,,node,61947416,node/61947416,51.6547576,-0.1077361,The Jolly Farmers,,,,,,,,,,,,,,,,,,,
,,,node,61955733,node/61955733,51.6528776,-0.0865804,The Stag,,,,,,,,,,,,,,,,,,,
,,,node,61978940,node/61978940,51.6594925,-0.0799229,Jolly Butchers,,,,,,,,,,,,,,,,,,,
,,,node,61987558,node/61987558,51.6599599,-0.0792592,The Wheatsheaf,,,,,,,,,,,,,,,,,,,
,W5,W,node,76660110,node/76660110,51.5169424,-0.2899892,The Greystoke,,Greene King,7,Queens Parade,London,,,,https://www.greeneking.co.uk/pubs/greater-london/greystoke,,,,,,,,,W5,W
,,,node,87355103,node/87355103,51.3434396,-0.0624612,The Sir Julian Huxley,,Wetherspoon,152-154,Addington Road,South Croydon,,,,https://www.jdwetherspoon.com/pubs/the-sir-julian-huxley-selsdon,Q88917035,Mo-Th 08:00-24:00; Fr-Sa 08:00-01:00; Su 08:00-24:00,,,,,,,,
,,,node,89125490,node/89125490,51.4067174,-0.0318015,The Bricklayers Arms,,,237,High Street,Beckenham,,,,,,,,,,,,,,
,,,node,89125621,node/89125621,51.4072361,-0.0276499,Ye George Inn,,,111,High Street,Beckenham,,,+44 208 663 3468,https://www.thegeorgeinnbeckenham.co.uk/#/,Q26641587,,,,,,,,,
,,,node,89125652,node/89125652,51.4104781,-0.024671,O'Neils,,,9,High Street,Beckenham,,,,,,,,,,,,,,
,SE3,SE,node,90272342,node/90272342,51.4738476,0.039705,Fox Under The Hill,,Greene King,286,Shooters Hill Road,London,,,+44 20 8856 5518,https://www.greeneking.co.uk/pubs/greater-london/fox-under-the-hill,,Mo-Th 11:00-23:00; Fr 11:00-24:00; Sa 09:00-24:00; Su 09:00-23:00,,,,,,,SE3,SE
,,,node,90322956,node/90322956,51.3195125,-0.0429315,The Harrow,,Vintage Inns,,,,,,,https://www.vintageinn.co.uk/restaurants/south-east/theharrowwarlingham,,Mo-Sa 12:00-23:00; Su 12:00-22:00,,,,,,,,
,,,node,90324545,node/90324545,51.3139216,-0.0325699,The Bull Inn,,,,,,,,,,,,,,,,,,,
,,,node,92560386,node/92560386,51.4857401,-0.4057765,The Jolly Gardeners,,,,,,,,,,,,,,,,,,,
,NW5,NW,node,98170592,node/98170592,51.5614305,-0.1504467,Duke of St. Albans,,,15,Highgate Road,London,,,,https://www.dukeofstalbans.com/,,"Mo-Th 12:00-23:00; Fr,Sa 10:00-00:00; Su 12:00-22:00",,,,,,,NW5,NW
,,,node,106227688,node/106227688,51.3758911,-0.0148923,The Swan,,,2-4,High Street,West Wickham,,,,,Q26641570,,,,,,,,,
,SW8,SW,node,108035448,node/108035448,51.4787002,-0.1288063,The Nottingham Castle,,,257,Wandsworth Road,London,,,,,,,,,,,,,SW8,SW
,EC3A,EC,node,116097320,node/116097320,51.5149285,-0.0778751,The Alice,Stonegate,,133,Houndsditch,London,,,,https://www.crafted-social.co.uk/alice-houndsditch-london,,,,,,,,,EC3A,EC
,EC3A,EC,node,116097730,node/116097730,51.5148281,-0.0781193,The Lion Houndsditch,,,31,Houndsditch,London,,,,,,,,,,,,,EC3A,EC
,SW1V,SW,node,128329850,node/128329850,51.4935531,-0.1418267,The Camel,,,,,,,,,,,,,,,,,,SW1V,SW
,,,node,129996650,node/129996650,51.4070877,0.0116437,The Swan and Mitre,,Greene King,262,High Street,Bromley,,,,https://www.greeneking.co.uk/pubs/kent/swan-and-mitre,Q26586283,,,,,,,,,
,,,node,130220511,node/130220511,51.3076722,-0.1023778,Wattenden Arms,,,,Old Lodge Lane,Kenley,,,,http://www.thewattendenarmskenley.co.uk/,,,,,,,,,,
,W4,W,node,130577719,node/130577719,51.4869374,-0.2830003,The Bell and Crown,,Fuller's,,,,,,,https://www.bell-and-crown.co.uk/,,,,,,,,,W4,W
,W4,W,node,130577747,node/130577747,51.4844753,-0.2783571,The Bull's Head,,Chef & Brewer,,,,,,,https://www.chefandbrewer.com/pubs/greater-london/bulls-head,Q15978924,,,,,,,,W4,W
,SW9,SW,node,132960560,node/132960560,51.4687716,-0.1270502,The Phoenix,,,348,Clapham Road,,,,,,,,,,,,,,SW9,SW
,,,node,134900011,node/134900011,51.3825845,-0.3009294,The Maypole,,,2,Hook Road,Surbiton,,,,,,,,,,,,,,
,SW1V,SW,node,148782410,node/148782410,51.4889866,-0.1467405,The White Ferry,,,1a,Sutherland Street,London,,,,,Q27081607,"Mo-Su,PH 00:00-00:00",,,,,,,SW1V,SW
,SE23,SE,node,150609647,node/150609647,51.4337044,-0.0424719,Prince Of Wales,,,52,Perry Rise,London,,,,,,,,,,,,,SE23,SE
,,,node,153620231,node/153620231,51.3618835,-0.1932923,The Moon on the Hill,,Wetherspoon,5-9,Hill Road,,,,,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-moon-on-the-hill-sutton,Q88917038,,,,,,,,,
,E3,E,node,160548974,node/160548974,51.5279082,-0.0309841,The Morgan Arms,,,43,Morgan Street,London,,,+44 20 8980 6389,https://www.morganarmsbow.com/,,Mo-Sa 12:00-23:00; Su 12:00-22:30,,,,,,,E3,E
,,,node,166612953,node/166612953,51.4571449,-0.4785802,The Five Bells,,,,,,,,,,,,,,,,,,,
,,,node,166612962,node/166612962,51.4602835,-0.4766612,The Rising Sun,,,108 - 110,Oaks Road,Staines-upon-Thames,,,,,,,,,,,,,,
,NW1,NW,node,166967411,node/166967411,51.5425434,-0.1548897,The Pembroke Castle,,,150,Gloucester Avenue,London,,,,,,,,,,,,,NW1,NW
,SW18,SW,node,169140424,node/169140424,51.4500913,-0.1743309,The County Arms,Youngs,Young's,345,Trinity Road,London,,,,,,,,,,,,,SW18,SW
,SW17,SW,node,169140546,node/169140546,51.4461541,-0.1654356,The Hope,,,1,Bellevue Road,London,,,,,,,,,,,,,SW17,SW
,SW1E,SW,node,169384510,node/169384510,51.4986377,-0.139521,The Pineapple,,Greene King,25,Wilfred Street,London,,,,https://www.greeneking.co.uk/pubs/greater-london/colonies,,,,,,,,,SW1E,SW
,SW1E,SW,node,169440015,node/169440015,51.4985497,-0.1402518,Cask & Glass,,,39-41,Palace Street,London,,,,,,,,,,,,,SW1E,SW
,,,node,173456911,node/173456911,51.4777129,-0.4049338,The Jolly Waggoners,,,,,,,,,,,,,,,,,,,
,N1,N,node,175684023,node/175684023,51.5460243,-0.1019468,Hen and Chickens theatre & bar,,,,,,,,,,Q5712940,,,,,,,,N1,N
