pub_name,address
Art & Craft CR0,"46 Surrey Street, Croydon, CR0 1RJ"
The Royal Standard,"The Royal Standard Public House, 1 Sheldon Street, Croydon, CR0 1SS"
The Bulls Head,"Laud Street, Croydon, CR0 1SX"
Bishops Wine Bar,"1129 Whitgift Centre, Croydon, CR0 1UZ"
The Two Brewers P.H.,"The Two Brewers, 221 Gloucester Road, Croydon, CR0 2DW"
The Bedford Tavern,"16 Sydenham Road, Croydon, CR0 2EF"
Pawsons Arms,"The Pawsons Arms, 69 Pawsons Road, Croydon, CR0 2QA"
The Old Fox And Hounds,"1 London Road, Croydon, CR0 2RE"
The Golden Lion,"144 Stanley Road, Croydon, CR0 3QB"
The Hare And Hounds,"325 Purley Way, Croydon, CR0 4NU"
The Dog House,"14 The Broadway, Beddington, CR0 4QR"
The Plough,"The Plough Inn, The Broadway, Beddington, CR0 4QR"
Harvest Home Pub,"Harvest Home, 27 Beddington Lane, Beddington, CR0 4TG"
Mynd Spirit,"Addiscombe Cricket Club, The Sandilands Club, Sandilands, Croydon, CR0 5DB"
The Surprise,"The Surprise Inn, 107 Upper Shirley Road, Croydon, CR0 5HF"
Coombe Lodge,"104 Coombe Road, Croydon, CR0 5RB"
The Orchard,"The Orchard Public House, 112 Cherry Orchard Road, Croydon, CR0 6BA"
The Oval Tavern,"131 Oval Road, Croydon, CR0 6BR"
Porter & Sorter,"The Porter And Sorter Public House, Billinton Hill, Croydon, CR0 6BT"
Alma Tavern,"The Alma Tavern, 129 Lower Addiscombe Road, Croydon, CR0 6PU"
The Cricketers,"107 Addiscombe Road, Croydon, CR0 6SG"
The Builders Arms,"Builders Arms, 65 Leslie Park Road, Croydon, CR0 6TP"
Claret & Ale,"5 Bingham Corner, Lower Addiscombe Road, Croydon, CR0 7AA"
The Crown Inn,"28 Wickham Road, Croydon, CR0 8BA"
The Apple Tree,"The Apple Tree Public House, 1 - 3 Broom Road, Croydon, CR0 8NG"
The Kingsmen,"The Kingsmen Public House, Featherbed Lane, Croydon, CR0 9AS"
The Randall Tavern,"Randalls, Wayside, Field Way, Croydon, CR0 9DX"
The Purley Arms,"345 Brighton Road, South Croydon, CR2 6ER"
Smash Burger Box (At Whelans),"13-15 Selsdon Road, South Croydon, CR2 6PW"
Whelans,"13-15 Selsdon Road, South Croydon, CR2 6PW"
Crown And Sceptre,"Crown And Sceptre Public House, 32 Junction Road, South Croydon, CR2 6RB"
The Croham Arms,"Croham Arms, Croham Road, South Croydon, CR2 7PB"
Golden Beer Ark Micropub,"186 Addington Road, South Croydon, CR2 8LB"
The Sir Julian Huxley,"152 - 154 Addington Road, South Croydon, CR2 8LB"
The Village Club,"151 Addington Road, South Croydon, CR2 8LH"
Whyteleafe Sports Centre,"15 Church Road, Whyteleafe, CR3 0AR"
Whyteleafe Tavern,"208 Godstone Road, Whyteleafe, Surrey, CR3 0EE"
Caterham Arms Bar,"83a Coulsdon Road, Caterham, Surrey, CR3 5NF"
The Fox,"The Fox Public House, Fox Lane, Caterham, CR3 5QS"
The King and Queen,"34 High Street, Caterham, Surrey, CR3 5UA"
Blacksmiths Arms Ph,"39 High Street, Caterham, Surrey, CR3 5UE"
Townend Social Club,"15 Town End, Caterham, Surrey, CR3 5UJ"
The Boundary on the Green,"The Fleeting Brook                                                                                   Guards Avenue, Caterham, Surrey, CR3 5XL"
The Harrow Inn,"235 Stansted Road, Caterham, Surrey, CR3 6AJ"
William Garland,"4 The Square, Caterham, Surrey, CR3 6QA"
Caterham Club,"10a Croydon Road, Caterham, Surrey, CR3 6QB"
The Crown and Pepper,"32 Godstone Road, Caterham, Surrey, CR3 6RA"
Woldingham Social Club Bar,"Woldingham Village Institute                                                                         Upper Court Road, Woldingham, Surrey, CR3 7BE"
Woldingham Golf Club,"The Woldingham Golf Club                                                                             Halliloo Valley Road, Woldingham, Surrey, CR3 7HA"
Miller & Carter,"The Mill House Windmill Road, Mitcham, Merton, CR4 1HT"
Purkins Wine Bar,"174 Streatham Road, Mitcham, Merton, CR4 2AF"
The Gardeners Arms,"Gardeners Arms 107 London Road, Mitcham, Merton, CR4 2JA"
White Lion Of Mortimer,"Pub White Lion Of Mortimer 223 London Road, Mitcham, Merton, CR4 2JD"
The Windmill,"Pub The Windmill Public House 40 Commonside West, Mitcham, Merton, CR4 4HA"
The Crown of Mitcham,"The Crown Of Mitcham Carshalton Road, Mitcham, Merton, CR4 4HJ"
The Tudor Rose,"The Tudor Rose Public House, 270 Coulsdon Road, Coulsdon, CR5 1EB"
Netherne Community Amateur Sports Club,"Woodplace Lane, Hooley, Surrey, CR5 1NB"
Coulsdon Victoria Social Club,"The Victoria Club, 11 Victoria Road, Coulsdon, CR5 2NN"
The Pembroke,"12-16 Chipstead Valley Road, Coulsdon, CR5 2RA"
Smugglers Inn,"318 - 320 Chipstead Valley Road, Coulsdon, CR5 3BE"
Midday Sun Hungry Horse,"Outwood Lane, Chipstead, Surrey, CR5 3NA"
Ramblers Rest Public House,"Outwood Lane, Coulsdon, Surrey, CR5 3NP"
Chipstead Hardcourt Tennis Club,"High Road, Chipstead, Surrey, CR5 3QN"
The Chipstead Players,"The Courtyard Theatre, Longshaw Stables, Hazelwood Lane, Chipstead, CR5 3QU"
The White Hart,"The White Hart Public House, Hazelwood Lane, Chipstead, Surrey, CR5 3QW"
Hooley Social Club,"Hooley Community Centre, Maple Way, Hooley, Surrey, CR5 3RP"
Chipstead Rugby Football Club,"High Road, Chipstead, Surrey, CR5 3SB"
Chipstead Football Club,"High Road, Chipstead, Surrey, CR5 3SF"
"Chipstead, Coulsdon And Walcountians Cricket Club","High Road, Chipstead, Surrey, CR5 3SF"
Chipstead Bowling Club,"Elmore Road, Chipstead, Surrey, CR5 3SG"
The Well House Inn,"Chipstead Lane, Chipstead, Surrey, CR5 3SQ"
The Horseshoe,"5 Farleigh Road, Warlingham, Surrey, CR6 9EG"
White Lion,"3 Farleigh Road, Warlingham, Surrey, CR6 9EG"
Harrow Inn,"Harrow Inn                                                                                           309 Farleigh Road, Warlingham, Surrey, CR6 9EL"
Farleigh Rovers Football Club,"Clubhouse Parsonage Field                                                                           Green Lane, Warlingham, Surrey, CR6 9EY"
Ales on the Green,"20 The Green, Warlingham, Surrey, CR6 9NA"
The Bull Inn,"Chelshem Common, Chelsham, Surrey, CR6 9PB"
Warlingham Sports Club,"Warlingham Sports Club                                                                               Church Lane, Warlingham, CR6 9PR"
Botley Hill Farmhouse,"Botley Hill Farm                                                                                     Limpsfield Road, Warlingham, Surrey, CR6 9QH"
Warlingham Rugby Football Club Bar,"Warlingham Rugby Football Ground                                                                     Limpsfield Road, Warlingham, CR6 9RB"
John Fisher Sports Club,"Clubhouse Sports Ground                                                                             Limpsfield Road, Warlingham, Surrey, CR6 9RD"
Greenacres Sports & Social Club,"282 Limpsfield Road, Warlingham, CR6 9RE"
Railway Telegraph,"19 Brigstock Road, Thornton Heath, CR7 7JJ"
The Prince George,"2-4 High Street, Thornton Heath, CR7 8LE"
Whispers Bar,"5 High Street, Purley, CR8 2AF"
The Jolly Farmer,"Jolly Farmers, 7 Purley Road, Purley, CR8 2HA"
The Foxley Hatch,"8 - 9 Russell Parade, Russell Hill Road, Purley, CR8 2LE"
The Pear Tree Purley,"908 Brighton Road, Purley, CR8 2LN"
Wattenden Arms,"Old Lodge Lane, Kenley, CR8 5EU"
Rafa Portcullis Club,"R A F A Portcullis Club Kenley Aerodrom                                                             Victor Beamish Avenue, Caterham, Surrey, CR8 5FX"
Stage Door,"37 Hythe Street, Dartford, Kent, DA1 1BE"
The Hufflers Arms,"110 Lower Hythe Street, Dartford, Kent, DA1 1BN"
The Wat Tyler,"80 High Street, Dartford, Kent, DA1 1DE"
Glentworth Club,"154 Lowfield Street, Dartford, Kent, DA1 1JB"
The Fox And Hounds,"201 - 203 Lowfield Street, Dartford, Kent, DA1 1JJ"
The Malt Shovel,"3 Darenth Road, Dartford, Kent, DA1 1LP"
The Ivy Leaf,"72 Darenth Road, Dartford, Kent, DA1 1LS"
The Cressy Arms,"1 Hawley Road, Dartford, Kent, DA1 1NP"
The Orange Tree,"6 Hawley Road, Dartford, Kent, DA1 1NR"
Dartford Cricket Club,"The Pavillion, Hesketh Park, Pilgrims Way, Dartford, DA1 1QZ"
Champions Bar,"Dartford Football Club, Stadium, Princes Park, Grassbanks, DA1 1RT"
PP Catering,"Princes Park Stadium, Grassbanks, Dartford, Kent, DA1 1RT"
Amar Hall,"21 East Hill, Dartford, Kent, DA1 1RX"
Royal Naval Association,"Royal Victoria Mill Hall, East Hill, Dartford, Kent, DA1 1RX"
The Tiger,"28 St Albans Road, Dartford, Kent, DA1 1TF"
The Foresters Public House,"15 Great Queen Street, Dartford, Kent, DA1 1TJ"
Dartford & District Irish Association,"43 Overy Street, Dartford, Kent, DA1 1UP"
The Rose,"36 Overy Street, Dartford, Kent, DA1 1UP"
Dartford Working Men's Club & Institute,"40 Essex Road, Dartford, Kent, DA1 2AU"
Dartford Working Mens Club,"40 Essex Road, Dartford, Kent, DA1 2AU"
New Dartford Sports Bar,"13 Spital Street, Dartford, Kent, DA1 2DQ"
Flying Boat,"36 - 42 Spital Street, Dartford, Kent, DA1 2DT"
The Royal Oak,"57 Spital Street, Dartford, Kent, DA1 2DX"
Growler Stop,"7 - 8 Westgate House, Spital Street, Dartford, Kent, DA1 2EH"
Oddfellows Arms,"72 West Hill, Dartford, Kent, DA1 2EU"
Dartford Masonic Club Bar,"Masonic Hall, 71 West Hill, Dartford, Kent, DA1 2HJ"
The Rose And Crown,"43 West Hill, Dartford, Kent, DA1 2HJ"
Fleetdown Bar And Catering Ltd,"Fleetdown United Football Club, Heath Lane, Dartford, Kent, DA1 2QH"
The Ship Public House,"92 Dartford Road, Dartford, Kent, DA1 3ER"
Bird In Hand,"242 Dartford Road, Dartford, Kent, DA1 3EY"
The Dart,"30 Chastilian Road, Dartford, Kent, DA1 3JJ"
Bear & Ragged Staff,"2 London Road, Crayford, Kent, DA1 4BH"
VCD Athletic Club,"Old Road, Crayford, Kent, DA1 4DN"
The One Bell,"170 Old Road, Crayford, Dartford, Kent, DA1 4DY"
The Dukes Head,"53 Crayford High Street, Crayford, Kent, DA1 4EJ"
Crayford Social Club,"Crayford Way, Crayford, Dartford, Kent, DA1 4JA"
The Penny Farthing,"3 Waterside, Crayford, Dartford, Kent, DA1 4JJ"
Danson Sports FC,"Perry Street, Crayford, Dartford, Kent, DA1 4RB"
Crayford Arrows Sports Club,"96 Perry Street, Crayford, Dartford, Kent, DA1 4RJ"
Dartford Invicta Bowls Club,"Invicta Sports Ground, Burnham Road, Dartford, Kent, DA1 5AL"
WI Temple Hill Lunch Club,"Temple Hill Community Centre, Temple Hill Square, Dartford, Kent, DA1 5HX"
Dartford Clay Shooting Club,"Joyce Green Farm, Joyce Green Lane, Dartford, Kent, DA1 5PN"
The Sun,"16 Swanscombe Street, Swanscombe, Kent, DA10 0BG"
Swanscombe Senior Lunch Club,"110 Swanscombe Street, Swanscombe, Kent, DA10 0JZ"
Rising Sun,"16 Craylands Lane, Swanscombe, Kent, DA10 0LP"
Swanscombe Leisure Centre,"Craylands Lane, Swanscombe, Kent, DA10 0LP"
Spots & Stripes Sports Club,"69 - 70 New Road, Gravesend, Kent, DA11 0AE"
The Wheatsheaf,"62 New Road, Gravesend, Kent, DA11 0AE"
EP Banqueting,"Old Town Hall, High Street, Gravesend, Kent, DA11 0AZ"
Kent Cocktail Bar,"20 High Street, Gravesend, Kent, DA11 0BA"
The Mole Hole Micropub,"17 High Street, Gravesend, Kent, DA11 0BA"
The Three Daws,"7 Town Pier, Gravesend, Kent, DA11 0BJ"
Rum Puncheon,"87 West Street, Gravesend, Kent, DA11 0BL"
The Campbell Arms,"1 Campbell Road, Gravesend, Kent, DA11 0JZ"
Pelham Arms,"189 Old Road West, Gravesend, Kent, DA11 0LT"
The Gravesend Masonic Hall,"25 Wrotham Road, Gravesend, Kent, DA11 0PA"
The Three Pillars,"25 Wrotham Road, Gravesend, Kent, DA11 0PA"
The Cricketers,"47 Arthur Street, Gravesend, Kent, DA11 0PR"
Gravesend Bowls Club,"Bat And Ball Sports Ground, Wrotham Road, Gravesend, Kent, DA11 0QP"
Gravesend Cricket Club,"Bat And Ball Ground, Wrotham Road, Gravesend, Kent, DA11 0QP"
Punjabi Junction @ Railway Bell,"The Railway Bell, Anglesea Place, Gravesend, Kent, DA11 0RR"
The Somerset Arms,"10 Darnley Road, Gravesend, Kent, DA11 0RU"
Woodlands Park Bowling Club,"Woodlands Park, Dashwood Road, Northfleet, Gravesend, DA11 7LZ"
Mid Kent Golf Club,"Singlewell Road, Gravesend, Kent, DA11 7RB"
Northfleet Bowling Club,"Wombwell Park, Mitchell Avenue, Northfleet, Gravesend, DA11 8AU"
Earl Grey,"177 Vale Road, Northfleet, Kent, DA11 8BP"
The Six Bells,"Old Perry Street, Northfleet, Gravesend, Kent, DA11 8BT"
Gravesend Theatre Guild,"The Guild Theatre, Vale Road, Northfleet, Gravesend, DA11 8DA"
Painters Ash Public House,"25 Dene Holm Road, Northfleet, Kent, DA11 8LF"
Perry Street Conservative Club,"2 Perry Street, Northfleet, Kent, DA11 8QU"
The Crown,"29 Perry Street, Northfleet, Kent, DA11 8RA"
The Rose,"1 Perry Street, Northfleet, Kent, DA11 8RA"
Iron Pier Brewery & Tap Room,"Unit 6-7, May Avenue, Northfleet, Gravesend, DA11 8RU"
Red Lion,"2 Crete Hall Road, Northfleet, Kent, DA11 9AA"
Gravesend Pool Lounge,"Unit 2, Ellandaye House, The Shore, Northfleet, DA11 9AL"
The Rose Inn,"1 Rose Street, Northfleet, Gravesend, Kent, DA11 9EQ"
Ye Olde Coach And Horses Inn,"25 The Hill, Northfleet, Gravesend, Kent, DA11 9EU"
Elephants Head,"106 London Road, Northfleet, Kent, DA11 9LZ"
