calc_postcode_district,calc_postcode_area,osm_type,osm_id,id,lat,lon,name,operator,photo_url1,photo_url2,photo_url3,photo_url4,photo_url5,founded,description,has_pub_garden,has_live_music,has_food_available,has_dog_friendly,has_pool_darts,has_accommodation,addr_housenumber,addr_street,phone,website,wikidata,opening_hours,opening_hours_a,opening_hours_b,opening_hours_c,opening_hours_d,opening_hours_e,opening_hours_f,tier_fetch_tier,tier_a_success,tier_a_http_status,tier_a_final_url,tier_a_error,tier_a_text_chars,tier_a_text_relpath,tier_a_excerpt
N4,N,way,224432174,way/224432174,51.5811385,-0.0997163,Brouhaha Bar,,,,,,,,,,,,,,,499-501,Green Lanes,+44 20 8348 8553,https://www.brouhahabar.com,,Mo-Tu 16:00-22:30, We-Th 16:00-23:00, Fr-Sa 16:00-00:00,,,,,A,0,200,https://www.brouhahabar.com,short_extract,0,,
NW1,NW,way,337127150,way/337127150,51.5268807,-0.1370264,Crown & Anchor,,,,,,,,,,,,,,,137,Drummond Street,+44 20 7383 2681,https://www.thecrownandanchornw1.co.uk/,Q18207855,Mo-We 12:00-23:00, Th-Fr 12:00-00:00, Sa 10:00-00:00, Su 10:00-22:30,,,,A,0,200,https://www.thecrownandanchornw1.co.uk/,short_extract,0,,
SE18,SE,node,3932136290,node/3932136290,51.4923617,0.0717588,SALT Woolwich,,,,,,,,,,,,,,,15,Major Draper Street,+44 20 8316 4413,https://www.saltbeerfactory.co.uk/,,Mo-Th 16:00-23:00, Fr-Sa 12:00-23:00, Su 12:00-22:00,,,,,A,0,200,https://www.saltbeerfactory.co.uk/,short_extract,0,,
SW1H,SW,way,321967936,way/321967936,51.4999401,-0.1337243,The Old Star,Greene King,,,,,,,,,,,,,,66,Broadway,,https://www.greeneking.co.uk/pubs/greater-london/old-star,,,,,,,,,A,0,403,https://www.greeneking.co.uk/pubs/greater-london/old-star,HTTPError:403,0,,
SW6,SW,way,151171737,way/151171737,51.4799074,-0.1960165,Bootsy Brogan's,,,,,,,,,,,,,,,1,Fulham Broadway,,https://www.allinlondon.co.uk/clubs-bars/pubs/1639-bootsy-brogans,,,,,,,,,A,0,200,https://www.allinlondon.co.uk/clubs-bars/pubs/1639-bootsy-brogans,short_extract,0,,
W1C,W,node,452240939,node/452240939,51.5143279,-0.1474367,Spread Eagle,Greene King,,,,,,,,,,,,,,8,Woodstock Street,+44 20 7629 4695,https://www.greeneking.co.uk/pubs/greater-london/spread-eagle,,,,,,,,,A,0,403,https://www.greeneking.co.uk/pubs/greater-london/spread-eagle,HTTPError:403,0,,
W1T,W,way,750447445,way/750447445,51.5225133,-0.1357722,Fitzrovia Belle,,,,,,,,,,,,,,,174,Tottenham Court Road,,https://www.bellepubsandrestaurants.co.uk/fitzroviabelle,,,,,,,,,A,0,200,https://www.bellepubsandrestaurants.co.uk/fitzroviabelle,short_extract,0,,
W8,W,way,128292693,way/128292693,51.5020851,-0.1877493,Goat Tavern,Greene King,,,,,,,,,,,,,,3,Kensington High Street,,https://www.greeneking.co.uk/pubs/greater-london/goat-tavern,Q23301475,"Mo-Th 12:00-23:00; Fr,Sa 12:00-24:00; Su 12:00-22:00",,,,,,,A,0,403,https://www.greeneking.co.uk/pubs/greater-london/goat-tavern,HTTPError:403,0,,
W8,W,way,829086948,way/829086948,51.49646,-0.1972511,The Hansom Cab,,,,,,,,,,,,,,,84-86,Earl's Court Road,,https://thehansomcab.com/,Q18160134,,,,,,,,A,0,200,https://thehansomcab.com/,short_extract,0,,
W8,W,way,112673208,way/112673208,51.5089768,-0.1949996,The Old Swan,Greene King,,,,,,,,,,,,,,206,Kensington Church Street,,https://www.greeneking.co.uk/pubs/greater-london/old-swan,,"Su-We 12:00-23:00, Th 12:00-24:00, Fr,Sa 12:00-01:00",,,,,,,A,0,403,https://www.greeneking.co.uk/pubs/greater-london/old-swan,HTTPError:403,0,,
