calc_postcode,calc_postcode_district,calc_postcode_area,osm_type,osm_id,id,lat,lon,name,operator,addr_housenumber,addr_street,addr_city,phone,website,website_status,website_redirect,wikidata,opening_hours,opening_hours_a,opening_hours_b,opening_hours_c,opening_hours_d,opening_hours_e,opening_hours_f
,E10,E,way,142241624,way/142241624,51.5748085,-0.011355,King William IV,,816,High Road Leyton,London,+44 20 8556 2460,https://www.william-the-fourth.com/,200,,,12:00-23:00,,,,,,
,E10,E,supabase,,0c35de19-2d54-4c2f-9942-93f38ced4a49,51.5599,-0.013381,Leyton Orient Supporters Club,Independent,,,,(020) 8988 8288,,,,,,,,,,,
,E10,E,way,444200909,way/444200909,51.5736854,-0.0098576,Prince of Wales,,777,High Road Leyton,London,,,,,,Mo-Th 12:00-23:00, Fr-Sa 12:00-01:00, Su 12:00-23:00,,,,
,E10,E,way,1385726376,way/1385726376,51.5706127,-0.0433203,Queer Brewing Project,,,Argall Avenue,London,,https://www.thequeerbrewingproject.com/taproom,200,,,Mo-Th off, Fr 16:00-22:00, Sa 13:00-22:00, Su off, PH off,,
,E10,E,way,444593912,way/444593912,51.5744688,-0.0137683,The Auctioneer,,596,Lea Bridge Road,London,,,,,,,,,,,,
,E10,E,way,444642776,way/444642776,51.574926,-0.0138608,The European,,557-559,Lea Bridge Road,London,,https://theeuropeanpub.co.uk/,200,,,Mo-We 12:00-23:00, Th 12:00-00:00, Fr-Sa 12:00-01:00, Su 12:00-22:00,,,
,E10,E,node,12198799907,node/12198799907,51.5588363,-0.0075174,The Leyton Engineer,Remarkable Pubs Ltd.,256,High Road Leyton,London,,https://theleytonengineer.co.uk/,200,,,Mo-We 16:00-23:00, Th 12:00-23:00, Fr 12:00-00:30, Sa 12:00-01:00, Su 12:00-23:00,,
,E10,E,supabase,,6154170c-9ae2-430e-a146-d965ef6dfcd6,51.5748,-0.011411,William the Fourth,Independent,,,,(020) 8556 2460,,,,,,,,,,,
,E11,E,way,1047662587,way/1047662587,51.5658122,0.0021395,Heathcote & Star,,344,Grove Green Road,London,,https://heathcoteandstar.co.uk/,200,,,,,,,,,
,E11,E,supabase,,af647587-2acc-4755-baf4-c06d9bb8b73a,51.568,0.011493,Leytonstone ex-servicemens club,Independent,,,,(020) 8539 2954,,,,,,,,,,,
,E11,E,way,767855492,way/767855492,51.559027,0.0111672,Leytonstone Tavern,,119,Harrow Road,London,+44 20 8522 4923,https://www.leytonstonetavern.com/public/,200,,,,,,,,,
,E11,E,supabase,,3d94afeb-d21d-4d9e-b137-00d887c93381,51.5816,0.028454,Nightingale on the Green,,,,,(020) 8530 4683,,,,,,,,,,,
,E11,E,way,935593053,way/935593053,51.5603459,-0.0017067,Northcote Arms,,110,Grove Green Road,London,,https://itcbethandicap.com/,200,,,,,,,,,
,E11,E,way,228435778,way/228435778,51.5705485,0.0152407,O'Neill's,,762,High Road Leytonstone,London,,,,,Q85764520,,,,,,,
,E11,E,way,230406331,way/230406331,51.5571053,0.0060407,Plough and Harrow,,419,High Road Leytonstone,London,,,,,,,,,,,,
,E11,E,supabase,,9ba74653-4cf8-475d-8ab8-ac4bd90998c8,51.5767,0.011682,Sir Alfred Hitchcock Hotel,Independent,,,,(020) 8530 3724,https://www.thehitchcockhotel.com/,,,,,,,,,,
,E11,E,way,507095501,way/507095501,51.5608801,0.0088066,The Bell,Stonegate,468,High Road Leytonstone,London,,https://www.craftunionpubs.com/the-bell-leytonstone,200,,,,,,,,,
,E11,E,way,296756574,way/296756574,51.5565915,-0.0001534,The Birkbeck Tavern,,45,Langthorne Road,London,,https://thebirkbecktavern.co.uk/,,,,,,,,,,
,E11,E,way,1351858504,way/1351858504,51.5765434,0.0278822,The Bull,,129,High Street,London,,https://www.thebullwanstead.com/,200,,,,,,,,,
,E11,E,way,99878205,way/99878205,51.5793635,0.0250203,The Cuckfield,,31,High Street,London,,https://www.thecuckfieldwanstead.co.uk/,200,,,,,,,,,
,E11,E,way,163505839,way/163505839,51.5826491,0.027798,The Duke,,,Nightingale Lane,London,,https://www.thedukewanstead.com/,200,,,,,,,,,
,E11,E,way,1337211309,way/1337211309,51.5760874,0.0284075,The George and Dragon,Urban Pubs and Bars,159,High Street,London,,https://www.urbanpubsandbars.com/venues/the-george-and-dragon,,,Q88916722,,,,,,,
,E11,E,way,163502247,way/163502247,51.5816442,0.0284406,The Nightingale,,51,Nightingale Lane,London,,https://www.nightingaleonthegreen.co.uk/,,,Q26478805,,,,,,,
,E11,E,way,511586538,way/511586538,51.5698606,0.0154809,The North Star,,24,Browning Road,London,,,,,,,,,,,,
,E11,E,way,310789678,way/310789678,51.569083,0.0123075,The Old Crown,,692,High Road Leytonstone,London,,https://www.theoldcrownleytonstone.co.uk/,,,,,,,,,,
,E11,E,way,28836414,way/28836414,51.5679117,0.0111631,The Red Lion,Antic London,640,High Road Leytonstone,London,,https://www.urbanpubsandbars.com/venues/the-red-lion-leytonstone,,,,,,,,,,
,E11,E,way,930391987,way/930391987,51.5579215,0.0173255,The Rookwood Village,,314,Cann Hall Road,London,,https://therookwoodvillage.com/,,,,,,,,,,
,E11,E,way,511169062,way/511169062,51.5698658,0.0126498,The Walnut Tree,Wetherspoon,857-861,High Road Leytonstone,London,,https://www.jdwetherspoon.com/pubs/the-walnut-tree-leytonstone,200,,Q88916720,,,,,,,
,E11,E,way,1069433877,way/1069433877,51.583254,0.0208461,Toby Carvery,Toby Carvery,73,Hollybush Hill,London,,https://www.tobycarvery.co.uk/restaurants/london/snaresbrooklondon,403,,,,,,,,,
,E11,E,supabase,,670802ef-6fc9-4ef3-baa4-0eec0d9b4e7e,51.571,0.033639,Wanstead Golf Club,Independent,,,,(020) 8989 3938,,,,,,,,,,,
,E12,E,way,965232197,way/965232197,51.5521133,0.0465164,Blakesley Arms,,53,Station Road,London,,,,,,,,,,,,
,E12,E,way,550447429,way/550447429,51.5547787,0.0420502,The Golden Fleece,Greene King,166,Capel Road,London,+44 20 8478 0024,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece,200,,,,,,,,,
,E12,E,way,965224998,way/965224998,51.5508166,0.0482977,William the Conqueror,,630,Romford Road,London,+44 7886 277621,,,,,Mo-Th 11:30-23:30, Fr-Sa 11:00-01:00, Su 11:00-24:00,,,,
,E13,E,way,1116641607,way/1116641607,51.5240149,0.0279298,South West Ham Labour Club,,11A,St Andrew's Road,London,,,,,,,,,,,,
,E13,E,node,356973074,node/356973074,51.5222325,0.0225555,The Abbey Arms,,384,Barking Road,London,,,,,,,,,,,,
,E13,E,way,1027522305,way/1027522305,51.5302424,0.0229144,The Black Lion,,59-61,High Street,London,,https://blacklionplaistow.co.uk/,200,,,,,,,,,
,E13,E,way,1120585512,way/1120585512,51.5314791,0.0268486,The Lord Stanley,,15,St Mary's Road,London,,,,,,,,,,,,
,E13,E,way,436113666,way/436113666,51.5344743,0.035522,The Queens,,410,Green Street,London,,,,,,,,,,,,
,E13,E,way,450148697,way/450148697,51.5305896,0.0206412,Victoria Tavern,,28,High Street,London,,,,,,,,,,,,
,E14,E,way,190355898,way/190355898,51.5113333,-0.0297465,5b Urban Bar,,27,Three Colt Street,London,,,,,,Tu-Su 16:00-24:00,,,,,,
,E14,E,node,2018688106,node/2018688106,51.5046438,-0.0146973,BrewDog,BrewDog,2,Churchill Place,London,+44 20 7513 2417,https://brewdog.com/pages/bars/canary-wharf,200,,,Mo-Sa 12:00-23:00, Su 12:00-22:00,,,,,
,E14,E,way,191304258,way/191304258,51.5129234,-0.0142221,Callaghanns,,55,Chrisp Street,London,,,,,,,,,,,,
,E14,E,node,11603173108,node/11603173108,51.5028307,-0.0134968,Crate,,14,Water Street,London,,,,,,,,,,,,
,E14,E,way,413367881,way/413367881,51.5093208,-0.0118683,Hope & Anchor,,14,Newby Place,London,,,,,,,,,,,,
,E14,E,way,192328204,way/192328204,51.4873801,-0.0131197,Lord Nelson,,1-1a,Manchester Road,London,,,,,,"Mo-Th 12:00-23:00; Fr,Sa 12:00-24:00; Su 12:00-22:00",,,,,,
,E14,E,way,187272264,way/187272264,51.4961339,-0.0178252,Pepper Street Tavern,Clapham Leisure,21,Pepper Street,London,,https://pepperstreettavern.co.uk/,,,,,,,,,,
,E14,E,way,190897365,way/190897365,51.5142464,-0.0365653,Prince Regent,,81,Salmon Lane,London,,,,,,,,,,,,
,E14,E,node,6019687353,node/6019687353,51.5062159,-0.0185144,Sports Bar & Grill,Stonegate,1,Crossrail Place,London,,https://www.socialpubandkitchen.co.uk/directors-box-canary-wharf,200,,,"Mo-We 10:00-23:00; Th 10:00-23:30; Fr,Sa 10:00-24:00; Su 10:00-22:30",,,,,,
,E14,E,node,3576622823,node/3576622823,51.5122205,-0.0287538,Star of the East,,805A,Commercial Road,London,,,,,Q27081723,,,,,,,
,E14,E,way,190626268,way/190626268,51.5126282,-0.0401458,The Clement Attlee,,576-578,Commercial Road,London,+44 20 7790 2726,https://www.theclementattlee.co.uk/,200,,,Mo-We 17:00-23:00, Th 17:00-24:00, Fr 15:00-24:00, Sa 12:00-24:00, Su 12:00-22:30,,
,E14,E,way,190897364,way/190897364,51.5128241,-0.0376462,The Crown,,667,Commercial Road,London,,,,,,,,,,,,
,E14,E,way,353735190,way/353735190,51.48652,-0.0133568,The Ferry House,,26,Ferry Street,London,,https://ferrygood.co.uk/,,,Q27082781,Mo-Su 12:00-23:00,,,,,,
,E14,E,way,191304272,way/191304272,51.5123709,-0.0155961,The Festival Inn,,71,Grundy Street,London,,,,,,,,,,,,
,E14,E,way,193308924,way/193308924,51.4961658,-0.0135733,The George,,114-114a,Glengall Grove,London,,,,,,Mo-We 11:00-23:00, Th-Sa 11:00-24:00, Su 11:00-22:30,,,,
,E14,E,way,195200692,way/195200692,51.5088349,-0.0339749,The Grapes,,76,Narrow Street,London,+44 20 7987 4396,https://www.thegrapes.co.uk/,200,,Q15059596,Mo-Sa 12:00-23:00, Su 12:00-22:30,,,,,
,E14,E,way,372953882,way/372953882,51.5095355,-0.0109574,The Greenwich Pensioner,,28,Bazely Street,London,,https://greenwichpensioner.co.uk,,,Q26318414,Mo-Su 12:00-22:30,,,,,,
,E14,E,way,189811893,way/189811893,51.5018201,-0.0077363,The Gun,Fuller's,27,Cold Harbour,London,+44 20 7519 0075,https://www.thegundocklands.com/,200,,Q16993490,Mo-Tu 11:30-23:00, We-Sa 11:30-24:00, Su 11:30-22:30,,,,
,E14,E,node,573854610,node/573854610,51.5043058,-0.0225667,The Henry Addington,Nicholson's,22-28,Mackenzie Walk,London,+44 20 7719 1114,https://www.nicholsonspubs.co.uk/restaurants/london/thehenryaddingtoncanarywharflondon,403,,,Mo-Sa 12:00-23:00, Su 12:00-18:00,,,,,
,E14,E,way,140144150,way/140144150,51.5076763,-0.0245828,The Ledger Building,Wetherspoon,4,Hertsmere Road,London,+44 20 7536 7770,https://www.jdwetherspoon.com/pubs/the-ledger-building-docklands,200,,Q122759269,"Mo-Th,Su 09:00-00:00; Fr-Sa 09:00-01:00",,,,,,
,E14,E,node,638738965,node/638738965,51.5107112,-0.0191418,The Manor Arms,,150,East India Dock Road,London,,,,,,,,,,,,
,E14,E,way,195649318,way/195649318,51.513576,-0.0400264,The Old Ship,,17,Barnes Street,London,,https://www.oldship.net/,200,,Q27085020,Mo 12:00-22:00, Tu 12:00-23:00, We 12:00-00:00, Th 12:00-23:00, Fr-Su 12:00-00:00,,
,E14,E,way,195649319,way/195649319,51.5138388,-0.0387451,The Queen's Head,Young's,8,Flamborough Street,London,,,,,Q26318301,,,,,,,
,E14,E,way,354074631,way/354074631,51.4877721,-0.0178347,The Ship,,290,Westferry Road,London,,https://www.theshipcanarywharf.co.uk/,,,,,,,,,,
,E14,E,node,5418886554,node/5418886554,51.4921523,-0.0241157,The Space Bar,,269,Westferry Road,London,,https://www.spacebar.org.uk/,200,,,Mo-Th 12:00-23:00, Fr-Sa 12:00-24:00, Su 12:00-22:30,,,,
,E14,E,node,7250542203,node/7250542203,51.513588,-0.0053807,The Tommy Flowers,,50,Aberfeldy Street,London,,,,,,,,,,,,
,E14,E,way,209682393,way/209682393,51.4981323,-0.0255271,The Tooke Arms,,165,Westferry Road,London,,,,,,,,,,,,
,E14,E,way,354074632,way/354074632,51.4886285,-0.0058691,The Waterman's Arms,,1,Glenaffric Avenue,London,,https://thewatermansarms.co.uk/,200,,Q27081741,Mo 08:00-22:00, Tu-Fr 08:00-23:00, Sa 09:00-23:00, Su 09:00-22:00,,,
,E15,E,node,269253652,node/269253652,51.542752,0.0032106,012 Bar & Grill Restaurant,,108-110,The Grove,London,,,,,,"Su-Th 11:00-00:00; Fr,Sa 11:00-01:00",,,,,,
,E15,E,way,465890007,way/465890007,51.5458275,0.0043035,Cart and Horses,,1,Maryland Point,London,,https://www.cartandhorses.london/,,,Q124344709,"Mo-Th 12:00-00:30, Fr 12:00-03:00, Sa 12:00-03:30, Su 12:00-00:30",,,,,,
,E15,E,node,4607932812,node/4607932812,51.5461024,0.0046061,Cheers Bar & Lounge,,5-9,Leytonstone Road,London,,,,,,,,,,,,
,E15,E,supabase,,2956249c-c8cb-4df0-a6fc-0391f695f989,51.5293,0.010186,East London RFC,Independent,,,,(020) 7473 0669,,,,,,,,,,,
,E15,E,way,447182149,way/447182149,51.5401054,0.0031144,Freaks and Geeks,,25,West Ham Lane,London,,,,,,,,,,,,
,E15,E,way,930548529,way/930548529,51.543791,0.0037062,Goldengrove,Wetherspoon,146-148,The Grove,London,+44 20 8519 0750,https://www.jdwetherspoon.com/pubs/goldengrove-stratford,200,,Q88916724,"Su-Th 08:00-24:00; Fr,Sa 08:00-01:00",,,,,,
,E15,E,supabase,,2cd8c236-f5d4-44cb-962b-76e1b2b973c7,51.5411,0.002938,King Edward VII,,,,,(020) 8534 2313,,,,,,,,,,,
,E15,E,node,6488078275,node/6488078275,51.5480468,-0.0099843,Mother Kelly's E20,,27-30,Victory Parade,London,,https://motherkellys.co.uk/,200,,,,,,,,,
,E15,E,way,241713664,way/241713664,51.5406296,0.0023416,Queens Head,Stonegate,5-7,West Ham Lane,London,,https://www.craftunionpubs.com/queens-head-stratford,200,,,,,,,,,
,E15,E,node,1322154184,node/1322154184,51.5402372,0.0002018,The Abbey Tap,Stonegate,10-14,Broadway,London,+44 20 3435 9910,"https://www.stonegategroup.co.uk/find-your-local/?long=0.00026&lat=51.54056&address=E15%204QS%20Broadway,%20London,%20United%20Kingdom",200,,,Su-Th 10:00-23:00, Fr-Sa 10:00-01:00,,,,,
,E15,E,way,609577381,way/609577381,51.5404228,0.0109534,The Bay Tree,,59,Vicarage Lane,London,,,,,,,,,,,,
,E15,E,way,179004382,way/179004382,51.538214,-0.0064228,The Carpenter's Arms,,30,Carpenters Road,London,,,,,,,,,,,,
,E15,E,way,1090201138,way/1090201138,51.5491457,-0.0019821,The Eagle,,157,Chobham Road,London,+44 20 7534 2322,,,,,,,,,,,
,E15,E,way,930766693,way/930766693,51.535814,0.0067443,The Greyhound,,136,West Ham Lane,London,,,,,,,,,,,,
,E15,E,node,296506670,node/296506670,51.5353993,0.0215447,The Lamb,,85,Pelly Road,London,,,,,,,,,,,,
,E15,E,way,930360465,way/930360465,51.5540828,-0.0048591,The Leyton Star,,116,High Road Leyton,London,,https://leytonstar.co.uk/,,,,,,,,,,
,E15,E,node,269255191,node/269255191,51.5424567,0.0028343,The Sportsman,Stonegate,78-102,Broadway,London,,https://www.greatlocalpubs.co.uk/sportsman-stratford,200,,,"Su-Th 09:00-23:30; Fr,Sa 09:00-01:00",,,,,,
,E15,E,way,465306936,way/465306936,51.5401805,0.0009543,Ye Olde Black Bull,,13,Broadway,London,,https://yeoldeblackbull.site/,,,,,,,,,,
,E16,E,node,529875654,node/529875654,51.5088147,0.0255735,Fox @ Excel,,2,Western Gateway,London,,https://www.foxexcel.co.uk,,,,,,,,,,
,E16,E,way,122187910,way/122187910,51.5088068,0.0393989,Fox@Connaught,,,Lynx Way,London,,,,,Q26656852,,,,,,,
,E16,E,way,196384557,way/196384557,51.5009044,0.0572252,Henley Arms,,268,Albert Road,London,,,,,,,,,,,,
