id,name,operator,calc_postcode_district,calc_postcode_area,lat,lon,addr_housenumber,addr_street,addr_city,serper_query,confidence,suggested_website,suggested_website_original,validation_status,alternates_json,notes
way/160683906,Mr. Fogg's Tavern,,WC2N,WC,51.5109856,-0.1268285,58,St Martin's Lane,London,"""Mr. Fogg's Tavern"" pub London 58 St Martin's Lane WC2N",0.000,https://www.mr-foggs.com/,https://www.mr-foggs.com/mr-foggs-tavern/,200,"[""https://www.mr-foggs.com/mr-foggs-tavern/"", ""https://www.mr-foggs.com/mr-foggs-tavern/menus/"", ""https://inception-group.com/mr-foggs-tavern/"", ""https://maps.apple.com/place?place-id=I50B377AEA7DE7E77"", ""https://welovefood-itsallweeat.com/2016/04/24/mr-foggs-tavern/""]",heuristic:https://www.mr-foggs.com/mr-foggs-tavern/
way/205407098,Opal Bar,,WC2N,WC,51.5073644,-0.1220032,,,London,"""Opal Bar"" pub London WC2N",0.000,https://licklist.co.uk/,https://licklist.co.uk/opal-bar,200,"[""https://licklist.co.uk/opal-bar"", ""https://forums.pubsgalore.co.uk/showthread.php?6170-Opal-Charing-Cross-WC2"", ""https://www.flickr.com/photos/55935853@N00/4555866556"", ""https://susdane.com/culture/2011/10/21/opal-bar-not-so-precious.html"", ""https://www.inapub.co.uk/venues/opal-bar/london/wc2n6pa/23557""]",heuristic:https://licklist.co.uk/opal-bar
way/107035580,The Lemon Tree,,WC2N,WC,51.5100049,-0.1257159,4,Bedfordbury,London,"""The Lemon Tree"" pub London 4 Bedfordbury WC2N",0.900,https://www.lemontreecoventgarden.com/,https://www.lemontreecoventgarden.com/,200,"[""https://www.lemontreecoventgarden.com/food"", ""https://maps.apple.com/place?place-id=IED8D947A7FBC1AE"", ""https://www.allourbars.com/the-lemon-tree-in-covent-garden"", ""https://jamespottsblog.wordpress.com/tag/the-lemon-tree/"", ""https://www.pubsgalore.co.uk/pubs/22111/""]","openai:The URL matches the pub name and address exactly (4 Bedfordbury, Covent Garden, WC2N), and it appears to be the official site with detailed menu and pub info. Other URLs are either aggregators or maps, less authoritative.;loc_ok=district+address"
relation/7183889,The Ship and Shovell,Hall & Woodhouse,WC2N,WC,51.5076381,-0.1247016,,,,"""The Ship and Shovell"" pub London WC2N",0.000,https://www.shipandshovell.co.uk/,https://www.shipandshovell.co.uk/venue-hire/,200,"[""https://www.shipandshovell.co.uk/venue-hire/"", ""https://www.shipandshovell.co.uk/our-story/"", ""https://www.hall-woodhouse.co.uk/pub/the-ship-and-shovell/"", ""https://londonspubswherehistoryreallyhappened.wordpress.com/2017/07/23/the-ship-and-shovell/"", ""https://www.alamy.com/stock-photo/ship-and-shovell-pub-london.html""]",heuristic:https://www.shipandshovell.co.uk/venue-hire/
node/1163880380,The Stranded,,WC2N,WC,51.5093567,-0.1243596,430,Strand,London,"""The Stranded"" pub London 430 Strand WC2N",0.000,https://www.beerguideldn.com/,https://www.beerguideldn.com/publist.php,200,"[""https://www.beerguideldn.com/publist.php"", ""https://www.pubsgalore.co.uk:8080/towns/wc2/central-london/"", ""https://thatsup.co.uk/london/explore/bar/?close-to=London%2C+UK"", ""https://www.nationalgrid.com/sites/default/files/documents/CAP165%20Amendment%20Report%20Volume%201%20v1.0%20Issued.pdf""]",heuristic:https://www.beerguideldn.com/publist.php
way/99952332,Lyceum Tavern,Samuel Smith,WC2R,WC,51.5113117,-0.1197245,354,Strand,London,"""Lyceum Tavern"" pub London 354 Strand WC2R",0.000,https://www.layersoflondon.org/,https://www.layersoflondon.org/map/records/lyceum-tavern-354-strand-st-clement-danes-wc2r-0hs,200,"[""https://lyceum-tavern.wheree.com/menu"", ""https://www.layersoflondon.org/map/records/lyceum-tavern-354-strand-st-clement-danes-wc2r-0hs"", ""https://pubwiki.co.uk/LondonPubs///ClementsDanes/LyceumTavern.shtml"", ""https://www.mapquest.com/gb/england/lyceum-tavern-523789997"", ""https://londonspubswherehistoryreallyhappened.wordpress.com/2020/08/21/the-lyceum-tavern/""]",heuristic:https://www.layersoflondon.org/map/records/lyceum-tavern-354-strand-st-clement-danes-wc2r-0hs
way/487479499,Nell Gwynne Tavern,,WC2R,WC,51.5102361,-0.1228373,1-2,,London,"""Nell Gwynne Tavern"" pub London 1-2 WC2R",0.950,https://www.thenellgwynne.com/,https://www.thenellgwynne.com/,200,"[""https://unseentours.org.uk/blog/three-things-you-didnt-know-about-covent-garden/"", ""https://maps.apple.com/place?place-id=IA42442AEC5134BB2"", ""https://mindtrip.ai/restaurant/london-greater/nell-gwynne/re-Si1NsKIb"", ""https://www.useyourlocal.com/pubs/nell-gwynne-london-wc2-12673/"", ""https://pitchbook.com/profiles/company/531019-54""]","openai:The URL is the official website named exactly after the pub, with strong page evidence mentioning the Nell Gwynne Tavern and its history. It is not an aggregator or social network and is highly relevant to the pub in London WC2R.;loc_ok=district+address"
node/25746185,The Cheshire Cheese,,WC2R,WC,51.5123895,-0.1131849,,,London,"""The Cheshire Cheese"" pub London WC2R",0.950,https://www.cheshirecheese.pub/,https://www.cheshirecheese.pub/,200,"[""https://www.cheshirecheese.pub/contact-us"", ""https://pubsandbeer.co.uk/index.php?ID=P&pub=5939"", ""https://www.shepherdneame.co.uk/news/the-cheshire-cheese-pub"", ""https://www.mapquest.com/gb/england/cheshire-cheese-777119078"", ""https://historicengland.org.uk/listing/the-list/list-entry/1431970""]","openai:The URL is the official pub website with exact matching location details (London WC2R, close to Royal Courts of Justice) and high geo bonus, clearly representing the pub.;loc_ok=near_coords"
way/244884784,The Devereux,,WC2R,WC,51.5128283,-0.1125591,,Devereux Court,London,"""The Devereux"" pub London Devereux Court WC2R",0.950,https://thedevereux.co.uk/,https://thedevereux.co.uk/,200,"[""https://london-hq.co.uk/venue-directory/the-devereux/"", ""https://www.citystack.co/the-devereux"", ""https://www.fanzo.com/en/bar/17420/the-devereux"", ""https://www.novacircle.com/spots/europe/united-kingdom/london-borough-of-camden/london/london/the-devereux-pub-19706e"", ""https://www.goodbeergoodpubs.co.uk/pub-reviews/london-central-west-end/temple/devereux/""]","openai:The URL is the official domain matching the pub's name, with the exact address '20 Devereux Court, Temple, London WC2R 3JJ' matching the given location, indicating it is the pub's own website.;loc_ok=district+address"
way/244884785,The Edgar Wallace,,WC2R,WC,51.5127222,-0.1127754,40,Essex Street,London,"""The Edgar Wallace"" pub London 40 Essex Street WC2R",0.950,https://www.edgarwallacelondon.co.uk/,https://www.edgarwallacelondon.co.uk/,200,"[""https://edgarwallace.co.uk/"", ""https://maps.apple.com/place?place-id=IA6E854B63859E6BE"", ""https://londonist.com/london/pubs/edgar-wallace"", ""https://mapy.com/en/?source=osm&id=13128879""]","openai:The URL matches the pub name exactly and the page snippet includes the exact address 40 Essex Street, London, WC2R, matching the given pub details perfectly.;loc_ok=district+address"
