calc_postcode_district,calc_postcode_area,osm_type,osm_id,id,lat,lon,name,operator,photo_url1,photo_url2,photo_url3,photo_url4,photo_url5,founded,description,has_pub_garden,has_live_music,has_food_available,has_dog_friendly,has_pool_darts,has_accommodation,addr_housenumber,addr_street,phone,website,wikidata,opening_hours,opening_hours_a,opening_hours_b,opening_hours_c,opening_hours_d,opening_hours_e,opening_hours_f,tier_fetch_tier,tier_a_success,tier_a_http_status,tier_a_final_url,tier_a_error,tier_a_text_chars,tier_a_text_relpath,conf_description,conf_phone,conf_founded,conf_operator,conf_has_pub_garden,conf_has_live_music,conf_has_food_available,conf_has_dog_friendly,conf_has_pool_darts,conf_has_accommodation,enc_website_text_skip
E4,E,way,310872642,way/310872642,51.6168742,-0.0007495,The Larkshall,,,,,,,,"Local traditional pub in Chingford with a focus on seasonal dishes and local produce. Known for its beer garden and classic British fare, including fish and chips and BBQ roasts. The pub is a venue for watching the World Cup 2026 and offers a friendly atmosphere.",TRUE,,TRUE,TRUE,,,205,Larkshall Road,,https://www.larkshallpub.co.uk/,,,,,,,,,A,1,200,https://www.larkshallpub.co.uk/,,1716,data/tier_a_extractions/way_310872642_0567a1851b4d156a.txt,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,
E6,E,supabase,,3d49e7a8-7b6f-40da-9779-995212d8f8cf,51.5304,0.038098,Boleyn Tavern,Remarkable Pubs,,,,,,,,,,,,,,,,(020) 8472 2182,https://boleyntavern.co.uk/,,,,,,,,,A,0,200,https://boleyntavern.co.uk/,below_min_chars,73,,,,,,,,,,,,no_tier_a_text_relpath
E8,E,way,469649790,way/469649790,51.5367031,-0.0756943,Signature Brew Taproom and Venue,Signature Brew,,,,,,,"Signature Brew Haggerston is a dog-friendly pub located in a railway arch next to the Regent's Canal in Haggerston, East London. It serves fresh Signature Brew beers, guest beers, wine, and spirits, and hosts live music events. The venue features a dedicated space for live music photography and has an outdoor terrace.",TRUE,TRUE,,TRUE,,,340,Acton Mews,,https://www.signaturebrew.co.uk/pages/the-signature-brew-taproom-venue-in-haggerston-east-london,,,,,,,,,A,1,200,https://www.signaturebrew.co.uk/pages/the-signature-brew-taproom-venue-in-haggerston-east-london,,1257,data/tier_a_extractions/way_469649790_3226d3549a4934d9.txt,1.0000,0.0000,0.0000,,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,
E8,E,way,372808122,way/372808122,51.5495175,-0.054525,The Crown,,,,,,,,"The Crown & Half Crown is a neighbourhood pub in Hackney Central, offering good pints and a warm welcome. It features two spaces connected by an alleyway, regular karaoke, live music nights, and a guesthouse with 13 distinctive rooms.",,TRUE,,,,TRUE,418,Mare Street,,https://www.thecrownhackney.co.uk/,,,,,,,,,A,1,200,https://www.thecrownhackney.co.uk/,,1785,data/tier_a_extractions/way_372808122_1263457bf4f3e616.txt,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,
E8,E,way,459672112,way/459672112,51.5519623,-0.0746778,The Marquee Moon,,,,,,,,,,,,,,,48,Stoke Newington Road,,https://themarqueemoon.uk/,,,,,,,,,A,0,200,https://themarqueemoon.uk/,below_min_chars,87,,,,,,,,,,,,no_tier_a_text_relpath
E9,E,way,95243702,way/95243702,51.5416411,-0.0377196,People's Park Tavern,,,,,,,,"The People’s Park Tavern is a Hackney pub located in Victoria Park, featuring one of the largest beer gardens in London, a BBQ kitchen, a pop-up cocktail bar, and a tap wall. It is open 7 days a week from midday until midnight on Sunday to Thursday, and until 2am on Friday and Saturday.",TRUE,,TRUE,,,,360,Victoria Park Road,+44 20 8533 0040,https://www.peoplesparktavern.pub/,,Mo-Th 12:00-00:00, Fr 12:00-01:00, Sa 12:00-02:00, Su 12:00-00:00,,,,A,1,200,https://www.peoplesparktavern.pub/,,479,data/tier_a_extractions/way_95243702_147bec9cb6d8b4a0.txt,1.0000,,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
E9,E,way,600916017,way/600916017,51.5369808,-0.04491,The Empress,,,,,,,,"The Empress is a Victorian pub and dining room in Hackney by Victoria Park, serving modern British food, good wine, and local beers and ales with a seasonal menu featuring quality produce from local suppliers.",,,TRUE,,,,130a,Lauriston Road,+44 20 8533 5123,https://empresse9.co.uk/,,Mo 16:00-23:00, Tu-Sa 12:00-23:00, Su 12:00-10:30,,,,,A,1,200,https://empresse9.co.uk/,,373,data/tier_a_extractions/way_600916017_51f4c1ab6d94fe46.txt,1.0000,,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
EC1M,EC,way,569138325,way/569138325,51.5198291,-0.105994,The Sir John Oldcastle,Wetherspoon,,,,,,1680,"The Sir John Oldcastle is a pub named after The Sir John Oldcastle Tavern, established by 1680, and is associated with Shakespeare's character 'Falstaff'.",,,TRUE,,,,29-35,Farringdon Road,+44 20 7242 1013,https://www.jdwetherspoon.com/pubs/the-sir-john-oldcastle-farringdon,Q88973876,Su-We 08:00-23:30, Th-Sa 08:00-24:00,,,,,,A,1,200,https://www.jdwetherspoon.com/pubs/the-sir-john-oldcastle-farringdon,,469,data/tier_a_extractions/way_569138325_36c6a2dbeafbae07.txt,1.0000,,1.0000,,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
EC1V,EC,way,100442829,way/100442829,51.531418,-0.1059198,Old Red Lion,,,,,,,,"The Old Red is Islington’s home for pints, pizzas, and plays, with a history dating back to 1415. It has been a gathering place for rebels, writers, and regulars for generations.",,,TRUE,,,,418,St. John Street,,https://weareoldred.co.uk/,Q7084824,,,,,,,,A,1,200,https://weareoldred.co.uk/,,282,data/tier_a_extractions/way_100442829_67f1706398c7d455.txt,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,
EC2M,EC,way,160163216,way/160163216,51.5188007,-0.086027,Red Lion,Greene King,,,,,,,,,,,,,,1,Eldon Street,,https://www.greeneking.co.uk/pubs/greater-london/red-lion,,,,,,,,,A,1,403,https://www.greeneking.co.uk/pubs/greater-london/red-lion,HTTPError:403,228,data/tier_a_extractions/way_160163216_6e8e1ea49e734339.txt,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
EC3R,EC,node,292705417,node/292705417,51.5102919,-0.0861975,The Hydrant,Fuller's,,,,,,,,,,TRUE,,,,1,Monument Street,+44 20 7623 5446,https://www.thehydrant.co.uk/,,Mo-Fr 08:00-23:00, Sa 10:00-23:00, Su 10:00-18:00,,,,,A,1,200,https://www.thehydrant.co.uk/,,750,data/tier_a_extractions/node_292705417_82086ae84de9c52b.txt,0.0000,,0.0000,,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
EC3V,EC,node,12877542100,node/12877542100,51.5127425,-0.0830857,Golden Goose,,,,,,,,,,,,,,,13-15,Leadenhall Market,,https://www.goldengoose.london/,,,,,,,,,A,1,200,https://www.goldengoose.london/,,306,data/tier_a_extractions/node_12877542100_7c816fbb75c1b82b.txt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
EC3V,EC,node,295975604,node/295975604,51.5128537,-0.0842485,The New Moon,,,,,,,,,,,,,,,88,Gracechurch Street,,https://www.newmoonleadenhall.com/,,,,,,,,,A,0,403,https://www.newmoonleadenhall.com/,HTTPError:403,103,,,,,,,,,,,,no_tier_a_text_relpath
EC3V,EC,node,259253467,node/259253467,51.5110721,-0.0847581,The Ship,Nicholson's,,,,,,,,,,,,,,11,Talbot Court,,https://www.nicholsonspubs.co.uk/restaurants/london/theshiptalbotcourtlondon,,,,,,,,,A,0,403,https://www.nicholsonspubs.co.uk/restaurants/london/theshiptalbotcourtlondon,HTTPError:403,0,,,,,,,,,,,,no_tier_a_text_relpath
EC4N,EC,way,522314555,way/522314555,51.5132609,-0.0926485,The Golden Fleece,Greene King,,,,,,,,,,,,,,8-9,Queen Street,,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece,,,,,,,,,A,1,403,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece,HTTPError:403,233,data/tier_a_extractions/way_522314555_38d887a76d2e4865.txt,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
N1,N,node,331298014,node/331298014,51.5373158,-0.1095229,The Crown,Fuller's,,,,,,,"The Crown is located in Islington, near Upper Street, known for its vintage shops and proximity to music venues like Islington Assembly Hall and O2 Islington Arena. It offers a relaxing atmosphere with nearby parks for visitors to enjoy.",,,TRUE,,,,116,Cloudesley Road,+44 20 7837 7107,https://www.crownislington.co.uk/,Q17361843,Mo-Sa 12:00-23:00, Su 12:00-22:30,,,,,,A,1,200,https://www.crownislington.co.uk/,,1412,data/tier_a_extractions/node_331298014_0ab61119f8ab49da.txt,0.9000,,0.0000,,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,
N1,N,way,31293177,way/31293177,51.5446955,-0.1036583,The Library,Stonegate,,,,,,,"A pub offering a blend of traditional and modern vibes with a menu featuring stone-baked pizzas, burgers, and wings. It provides live sports on HD screens and a bottomless brunch menu with drinks. It promotes 2-for-1 cocktails daily.",,,TRUE,,,,235,Upper Street,,https://www.socialpubandkitchen.co.uk,,,,,,,,,A,1,200,https://www.socialpubandkitchen.co.uk,,631,data/tier_a_extractions/way_31293177_80a345140f964431.txt,1.0000,0.0000,0.0000,,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
N10,N,way,366382271,way/366382271,51.5883692,-0.1412195,The Famous Royal Oak,,,,,,,,"The Famous Royal Oak is a family-run pub located in Muswell Hill, serving the community for over 200 years. It offers a warm welcome and friendly service, open Monday to Sunday.",,,,,,,73,St James's Lane,+44 20 3489 2845,https://thefamousroyaloak.co.uk,,Mo-We 12:00-23:00, Th-Sa 12:00-24:00, Su 12:00-22:30,,,,,A,1,200,https://thefamousroyaloak.co.uk,,701,data/tier_a_extractions/way_366382271_29af2e57292f617a.txt,1.0000,,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
N14,N,node,11901214589,node/11901214589,51.6335353,-0.1316385,Annie Twomeys,Stonegate,,,,,,,"Annie Twomeys is a well-established, traditional Irish sports pub located in Southgate, London. It operates as a wet-led venue with a strong focus on drinks sales, particularly draught, and has a reputation for live sports coverage. The pub has a casual atmosphere and is community-oriented, appealing to sports fans and social groups.",,,FALSE,,,,110-112,Chase Side,+44 20 8882 3372,https://www.stonegatepubpartners.co.uk/find-a-pub/annie-twomeys-southgate_033038,,,,,,,,,A,1,200,https://www.stonegatepubpartners.co.uk/find-a-pub/annie-twomeys-southgate_033038,,1965,data/tier_a_extractions/node_11901214589_3c4502174f9ffa22.txt,1.0000,,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
N16,N,node,262637210,node/262637210,51.5617228,-0.0735286,Coach & Horses,Friendship Pubs Company,,,,,,,"A friendly and relaxed traditional pub with a fantastic selection of modern beers, real ales, rare whiskies, and natural and organic wines.",,,,,,,178,Stoke Newington High Street,,https://www.thecoachandhorsesn16.co.uk/,Q26647406,,,,,,,,A,1,200,https://www.thecoachandhorsesn16.co.uk/,,654,data/tier_a_extractions/node_262637210_d7253b0d7951947e.txt,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
N16,N,node,262443436,node/262443436,51.5620215,-0.079539,The Auld Shillelagh,,,,,,,,The Auld Shillelagh is recognized as the 'Most authentic Irish pub in the world outside Ireland' by the Irish Times. It hosts weekly music seisiún every other Thursday and Friday at 9pm.,,TRUE,,,,,105,Stoke Newington Church Street,+44 20 7249 5951,http://theauldshillelagh.co.uk/,,Mo-We 12:00-24:00, Th-Sa 12:00-25:00, Su 12:00-24:00,,,,,A,1,200,http://theauldshillelagh.co.uk/,,386,data/tier_a_extractions/node_262443436_bc613c7218c7b223.txt,0.9000,,0.0000,0.0000,0.5000,0.9000,0.5000,0.5000,0.5000,0.5000,
N16,N,node,292234943,node/292234943,51.5663124,-0.0726537,The Bird Cage,Stonegate,,,,,,,,,,,,,,58,Stamford Hill,,https://www.socialpubandkitchen.co.uk/find-a-pub,,,,,,,,,A,1,200,https://www.socialpubandkitchen.co.uk/find-a-pub,,371,data/tier_a_extractions/node_292234943_17ca7cb71ed47454.txt,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
N16,N,way,957099697,way/957099697,51.557632,-0.0806089,The Londesborough,Wright Brothers Ltd,,,,,,1864,"The Londesborough is a family-owned Victorian pub in Stoke Newington, built in 1864. It offers a welcoming atmosphere with a lovely back garden, serves food and beverages, and is known for its Sunday roasts.",TRUE,,TRUE,TRUE,,,36,Barbauld Road,020 7254 5865,https://www.thelondesborough.com/,,,,,,,,,A,1,200,https://www.thelondesborough.com/,,1393,data/tier_a_extractions/way_957099697_bb9ebd0233a059e8.txt,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,
N17,N,way,1076851225,way/1076851225,51.5922323,-0.0692517,The Beehive,,,,,,,,"The Beehive is a Grade II listed pub in Tottenham, featuring cozy interiors and a large beer garden. It serves classic homecooked pub food, including burgers and fish and chips, and offers private hire spaces. The pub shows sports, especially football, and is popular on matchdays.",TRUE,,TRUE,,,,,Stoneleigh Road,+44 20 8808 3567,https://beehiven17.com/,Q27087260,Mo-Th 15:00-23:00, Fr-Sa 12:00-01:00, Su 12:00-22:30,,,,,A,1,200,https://beehiven17.com/,,1176,data/tier_a_extractions/way_1076851225_1ef4d56db3aac078.txt,1.0000,,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
N19,N,way,447950556,way/447950556,51.5662715,-0.1366976,Whittington Stone,,,,,,,,"The Whittington Stone is a London pub that has recently undergone a £200,000 refurbishment, enhancing its traditional charm with new fabrics and designs. It features upgraded HDTVs, a new sound system for live sports, and bookable booths with TV screens. The pub offers a selection of local craft beers and an updated gin range, alongside a food menu with pub classics like fish and chips, burgers, and pies.",,,TRUE,,,,53,Highgate Hill,+44 20 7281 0905,https://www.greatlocalpubs.co.uk/whittington-stone-highgate,,,,,,,,,A,1,200,https://www.greatlocalpubs.co.uk/whittington-stone-highgate,,1011,data/tier_a_extractions/way_447950556_80d1efcab15ba2ea.txt,1.0000,,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
N4,N,way,224432174,way/224432174,51.5811385,-0.0997163,Brouhaha Bar,,,,,,,,,,,,,,,499-501,Green Lanes,+44 20 8348 8553,https://www.brouhahabar.com,,Mo-Tu 16:00-22:30, We-Th 16:00-23:00, Fr-Sa 16:00-00:00,,,,,A,0,200,https://www.brouhahabar.com,short_extract,0,,,,,,,,,,,,no_tier_a_text_relpath
N7,N,way,288035711,way/288035711,51.5604549,-0.1237587,The Owl & Hitchhiker,,,,,,,,"The Owl is a lively London boozer on Holloway Road, known for great craft beers, old school arcade games, pool tables, and music.",,,,,TRUE,,471,Holloway Road,,https://www.owlandhitchhiker.pub,Q26585569,,,,,,,,A,1,200,https://www.owlandhitchhiker.pub,,288,data/tier_a_extractions/way_288035711_e49b324085170631.txt,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,
N8,N,node,12633199509,node/12633199509,51.5817289,-0.1263171,Maynard Arms,,,,,,,,,,,,,,,70,Park Road,+44 2083 416 283,https://www.maynardarmsn8.co.uk/,,Mo-Th 12:00-23:00, Fr-Sa 12:00-24:00, Su 12:00-22:30,,,,,A,0,403,https://www.maynardarmsn8.co.uk/,HTTPError:403,103,,,,,,,,,,,,no_tier_a_text_relpath
N8,N,node,370187947,node/370187947,51.5872491,-0.1325891,The Priory,,,,,,,,"A fun, friendly and lively pub at the foot of Muswell Hill and Alexandra Palace, offering a selection of beers, wines, spirits, and regular events. Facilities include a pool table, darts board, and Sky Sports.",,TRUE,,TRUE,TRUE,,169,Priory Road,020 8340 4925,https://www.thepriorypubn8.com,,"Mo-Su 11:00-24:00; Fr,Sa 11:00-23:00",,,,,,,A,1,200,https://www.thepriorypubn8.com,,748,data/tier_a_extractions/node_370187947_e54ad30e4d138a35.txt,1.0000,1.0000,0.0000,0.0000,0.0000,0.8000,0.0000,1.0000,1.0000,0.0000,
NW1,NW,way,337127150,way/337127150,51.5268807,-0.1370264,Crown & Anchor,,,,,,,,,,,,,,,137,Drummond Street,+44 20 7383 2681,https://www.thecrownandanchornw1.co.uk/,Q18207855,Mo-We 12:00-23:00, Th-Fr 12:00-00:00, Sa 10:00-00:00, Su 10:00-22:30,,,,A,0,403,https://www.thecrownandanchornw1.co.uk/,HTTPError:403,0,,,,,,,,,,,,no_tier_a_text_relpath
NW1,NW,way,225442612,way/225442612,51.5347025,-0.1392217,Simmons,,,,,,,,"Simmons is a late night cocktail bar known for its happy hour and vibrant atmosphere, offering a variety of cocktails, beers, and special events like Hip Hop LDN brunches and Margarita Mondays.",,,,,,,7,Camden High Street,,https://www.simmonsbar.co.uk/,,Mo-We 16:00-00:30, Th-Sa 16:00-01:30, Su 16:00-22:30,,,,,A,1,200,https://www.simmonsbar.co.uk/,,1907,data/tier_a_extractions/way_225442612_f4fd26e205645f43.txt,0.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
NW1,NW,node,6677415686,node/6677415686,51.5407576,-0.1456555,The Ice Wharf,Wetherspoon,,,,,,,"The Ice Wharf is a canalside pub located on the site of the former London and North Western Stone Wharf, originally built in the 1830s to store imported ice. It features facilities like Wi-Fi, TV screens, and a licensed outside area.",TRUE,TRUE,TRUE,,,,,Jamestown Road,+44 20 7428 3770,https://www.jdwetherspoon.com/pubs/the-ice-wharf-camden,,"Mo,Tu,We,Su 08:00-23:30; Th 08:00-24:30; Fr,Sa 08:00-25:30",,,,,,,A,1,200,https://www.jdwetherspoon.com/pubs/the-ice-wharf-camden,,788,data/tier_a_extractions/node_6677415686_1e22b64a6381702b.txt,1.0000,,1.0000,,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,
NW1,NW,way,1308852871,way/1308852871,51.5299249,-0.1333891,The Prince Arthur,,,,,,,,"Prince Arthur is a funky London pub and Guest Accommodation featuring wood panelled walls, 60' style furnishings, and provocative art. It has a warm ambiance with dimmed lights and candles on tables. The pub offers outside seating for up to 45 people.",,,,,,TRUE,80-82,Eversholt Street,,https://www.princearthur.co.uk/,,,,,,,,,A,1,200,https://www.princearthur.co.uk/,,830,data/tier_a_extractions/way_1308852871_eff348a7b002dde9.txt,1.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5000,1.0000,
SE1,SE,way,128568070,way/128568070,51.499119,-0.0736765,Marquis of Wellington,Stonegate,,,,,,,"Your friendly local in London, serving a brilliant array of delicious food and drink.",,,TRUE,,,,21,Druid Street,,https://www.socialpubandkitchen.co.uk/marquis-of-wellington-bermondsey,,,,,,,,,A,1,200,https://www.socialpubandkitchen.co.uk/marquis-of-wellington-bermondsey,,308,data/tier_a_extractions/way_128568070_9f822e53c4c074a2.txt,1.0000,0.0000,0.0000,,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
SE1,SE,node,587850226,node/587850226,51.4948102,-0.0887005,Spit and Sawdust,,,,,,,,"Spit & Sawdust is a cosy, dog-friendly pub serving craft beers and bold Latin street food from Afuego Burger. It features a beer garden, sun terrace, free games, and live events.",TRUE,,TRUE,TRUE,TRUE,,21,Bartholomew Street,,https://www.spitandsawdustpub.co.uk/,,,,,,,,,A,1,200,https://www.spitandsawdustpub.co.uk/,,994,data/tier_a_extractions/node_587850226_f60ba970f0629261.txt,1.0000,0.0000,0.0000,0.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.5000,
SE1,SE,way,101694683,way/101694683,51.501197,-0.0870925,The Britannia,,,,,,,,"Smok’d at The Britannia offers a menu influenced by BBQ from around the world, featuring smoked meats and burgers, including vegetarian and vegan options. The pub hosts a Comedy Club every Sunday and weekly Poker nights.",,,TRUE,,,,44,Kipling Street,,https://www.britannia.smokd.co.uk/,,,,,,,,,A,1,200,https://www.britannia.smokd.co.uk/,,1367,data/tier_a_extractions/way_101694683_e93f5c26d6aff5d3.txt,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
SE1,SE,way,94758909,way/94758909,51.5024086,-0.0771434,The Pommelers Rest,Wetherspoon,,,,,,,"The Pommelers Rest is a pub that was formerly the Tower Bridge Hotel, named after the area's historical connection with the leather trade. The term 'pommler' dates back to 1450, referring to leather workers.",,,TRUE,,,,196-198,Tower Bridge Road,+44 20 7378 1399,https://www.jdwetherspoon.com/pubs/the-pommelers-rest-tower-bridge/,Q88916691,,,,,,,,A,1,200,https://www.jdwetherspoon.com/pubs/the-pommelers-rest-tower-bridge/,,503,data/tier_a_extractions/way_94758909_20914ff03630eeba.txt,1.0000,,0.0000,,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,
